"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2021-01-03,"Caldwell",300,NA,369,NA,NA,"34853","6512","1286","524","14114"
2021-01-03,"Calhoun",100,NA,310,NA,NA,"16817","3981","470","384","6161"
2021-01-03,"Callahan",100,NA,82,NA,NA,"11263","2958","146","122","4094"
2021-01-03,"Cameron",2600,2925,5543,NA,NA,"311689","58607","29737","6315","127806"
2021-01-03,"Chambers",900,NA,233,NA,NA,"33062","5259","958","244","12484"
2021-01-03,"Cherokee",200,NA,559,NA,NA,"40876","9444","1500","738","16376"
2021-01-03,"Childress",300,NA,282,NA,NA,"6094","1165","251","136","2395"
2021-01-03,"Clay",100,NA,139,NA,NA,"8666","2484","136","60","3011"
2021-01-03,"Coleman",200,NA,101,NA,NA,"6721","2119","342","162","2379"
2021-01-03,"Collin",4900,3900,10952,NA,NA,"801716","116575","38139","7817","236374"
2021-01-03,"Colorado",300,NA,193,NA,NA,"17107","4850","853","477","5957"
2021-01-03,"Comal",700,NA,1540,NA,NA,"125307","28528","5457","1845","38712"
2021-01-03,"Cooke",1100,NA,286,NA,NA,"32675","7804","948","552","11640"
2021-01-03,"Coryell",400,NA,389,NA,NA,"60428","8040","1178","610","22789"
2021-01-03,"Dallas",14400,27300,20714,NA,NA,"2028105","292117","142713","21399","730851"
2021-01-03,"Dawson",100,NA,32,NA,NA,"9789","1898","304","112","4206"
2021-01-03,"Deaf Smith",100,NA,272,NA,NA,"13439","2423","238","147","5332"
2021-01-03,"Denton",4000,NA,7436,NA,NA,"697330","93499","23806","5913","257836"
2021-01-03,"Dimmit",100,NA,87,NA,NA,"7539","1749","238","175","3179"
2021-01-03,"Donley",100,NA,36,NA,NA,"2716","804","27","65","918"
2021-01-03,"Ector",1300,NA,1138,NA,NA,"120896","15970","5303","1016","50679"
2021-01-03,"El Paso",13350,6825,7409,NA,NA,"640180","105175","35065","8383","245567"
