"County","Date","Cases_Cumulative","Cases_Daily","Deaths_Cumulative","Deaths_Daily","Tests_Cumulative","Tests_Daily","Active_Cases_Cumulative","Active_Cases_Daily","Retail_Recreation","Grocery_Pharmacy","Parks","Transit","Workplaces","Residential","Metro_Area","TSA","TSA_Name","Population_DSHS","TSA_Combined"
"Lamar",2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA,19,6,NA,18,5,-3,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-28,NA,NA,NA,NA,NA,NA,NA,NA,19,9,NA,14,5,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,18,6,NA,NA,7,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA,28,14,NA,NA,10,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,16,5,NA,16,5,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,28,12,NA,19,8,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-04,0,0,0,0,NA,NA,NA,NA,16,13,NA,22,8,1,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-05,0,0,0,0,NA,NA,NA,NA,23,16,NA,14,4,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-06,0,0,0,0,NA,NA,NA,NA,14,4,NA,11,3,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-07,NA,NA,0,0,NA,NA,NA,NA,17,2,NA,NA,3,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-08,NA,NA,0,0,NA,NA,NA,NA,17,1,NA,NA,5,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-09,0,0,0,0,NA,NA,NA,NA,11,4,NA,8,-15,2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-10,0,0,0,0,NA,NA,NA,NA,18,7,NA,12,-15,0,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-11,0,0,0,0,NA,NA,NA,NA,16,16,NA,22,-13,1,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-12,0,0,0,0,NA,NA,NA,NA,16,15,NA,7,-18,0,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-13,0,0,0,0,NA,NA,NA,NA,0,13,NA,7,-21,7,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-14,NA,NA,0,0,NA,NA,NA,NA,1,13,NA,NA,-6,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-15,0,0,0,0,NA,NA,NA,NA,5,12,NA,NA,1,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-16,0,0,0,0,NA,NA,NA,NA,5,20,NA,-2,-12,4,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-17,0,0,0,0,NA,NA,NA,NA,-2,21,NA,-6,-13,6,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-18,0,0,0,0,NA,NA,NA,NA,-9,21,NA,8,-13,7,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-19,0,0,0,0,NA,NA,NA,NA,-10,19,NA,-9,-16,8,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-20,0,0,0,0,NA,NA,NA,NA,-20,11,NA,-4,-21,12,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-21,0,0,0,0,NA,NA,NA,NA,-33,-1,NA,NA,-10,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-22,0,0,0,0,NA,NA,NA,NA,-32,1,NA,-25,-10,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-23,0,0,0,0,NA,NA,NA,NA,-24,-2,NA,0,-20,9,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-03-24,1,1,0,0,NA,NA,NA,NA,-19,-1,NA,0,-20,9,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
