Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-03-01,75978,27,15,12
2021-03-01,75979,2173,1458,715
2021-03-01,75980,463,315,148
2021-03-01,76001,6659,4103,2556
2021-03-01,76002,5262,3338,1924
2021-03-01,76003,98,56,42
2021-03-01,76004,40,26,14
2021-03-01,76005,2062,1276,786
2021-03-01,76006,3621,2278,1343
2021-03-01,76007,20,12,8
2021-03-01,76008,5034,3095,1939
2021-03-01,76009,1886,1297,589
2021-03-01,76010,4799,2902,1897
2021-03-01,76011,3583,2094,1489
2021-03-01,76012,7433,4588,2845
2021-03-01,76013,7386,4605,2781
2021-03-01,76014,3696,2391,1305
2021-03-01,76015,2976,1849,1127
2021-03-01,76016,9172,5672,3500
2021-03-01,76017,9574,5891,3683
2021-03-01,76018,3806,2400,1406
2021-03-01,76019,27,17,10
2021-03-01,76020,5375,3357,2018
2021-03-01,76021,9632,5891,3741
2021-03-01,76022,2664,1679,985
2021-03-01,76023,906,590,316
2021-03-01,76028,13635,9146,4489
2021-03-01,76031,1660,1121,539
2021-03-01,76033,4158,2930,1228
2021-03-01,76034,10593,6345,4248
2021-03-01,76035,358,238,120
2021-03-01,76036,5018,3143,1875
2021-03-01,76039,7115,4429,2686
2021-03-01,76040,4307,2671,1636
2021-03-01,76041,97,76,21
2021-03-01,76043,1334,969,365
2021-03-01,76044,729,482,247
2021-03-01,76048,5012,3754,1258
2021-03-01,76049,6797,5364,1433
2021-03-01,76050,909,608,301
2021-03-01,76051,12120,7628,4492
2021-03-01,76052,3840,2337,1503
2021-03-01,76053,4587,2916,1671
2021-03-01,76054,4255,2645,1610
2021-03-01,76055,408,268,140
2021-03-01,76058,2134,1445,689
2021-03-01,76059,900,569,331
2021-03-01,76060,2468,1380,1088
2021-03-01,76061,38,24,14
2021-03-01,76063,15558,9609,5949
2021-03-01,76064,275,210,65
2021-03-01,76065,7369,5076,2293
2021-03-01,76066,555,353,202
2021-03-01,76067,2141,1508,633
2021-03-01,76068,85,66,19
2021-03-01,76070,87,65,22
2021-03-01,76071,406,265,141
2021-03-01,76073,982,611,371
2021-03-01,76077,67,50,17
2021-03-01,76078,1061,679,382
2021-03-01,76082,2513,1544,969
2021-03-01,76084,931,635,296
2021-03-01,76085,1984,1264,720
2021-03-01,76086,4163,2688,1475
2021-03-01,76087,7277,4601,2676
2021-03-01,76088,2325,1486,839
2021-03-01,76092,10620,6681,3939
2021-03-01,76093,218,148,70
2021-03-01,76094,27,20,7
2021-03-01,76095,71,44,27
2021-03-01,76096,61,39,22
2021-03-01,76097,81,51,30
2021-03-01,76098,109,72,37
2021-03-01,76099,74,45,29
2021-03-01,76101,49,29,20
2021-03-01,76102,2944,1717,1227
2021-03-01,76103,2269,1397,872
2021-03-01,76104,3495,2176,1319
2021-03-01,76105,2000,1285,715
2021-03-01,76106,3969,2563,1406
2021-03-01,76107,10005,6048,3957
2021-03-01,76108,7259,4498,2761
2021-03-01,76109,8793,5188,3605
2021-03-01,76110,5190,3175,2015
2021-03-01,76111,2383,1524,859
2021-03-01,76112,6910,4384,2526
2021-03-01,76113,28,18,10
2021-03-01,76114,3919,2419,1500
2021-03-01,76115,1719,1103,616
2021-03-01,76116,11544,6824,4720
2021-03-01,76117,3035,1915,1120
2021-03-01,76118,3374,2180,1194
2021-03-01,76119,4703,2923,1780
2021-03-01,76120,2329,1471,858
2021-03-01,76121,49,29,20
2021-03-01,76122,NA,NA,NA
2021-03-01,76123,7292,4435,2857
2021-03-01,76124,53,32,21
2021-03-01,76126,7189,4292,2897
2021-03-01,76127,8,NA,NA
2021-03-01,76129,26,18,8
2021-03-01,76130,9,7,NA
2021-03-01,76131,6713,4282,2431
2021-03-01,76132,8746,5233,3513
2021-03-01,76133,10454,6367,4087
2021-03-01,76134,3696,2344,1352
2021-03-01,76135,3210,1974,1236
2021-03-01,76136,29,22,7
2021-03-01,76137,7930,4876,3054
2021-03-01,76140,3334,2148,1186
2021-03-01,76147,49,35,14
2021-03-01,76148,3406,2121,1285
2021-03-01,76150,NA,NA,NA
2021-03-01,76155,471,336,135
2021-03-01,76161,50,32,18
2021-03-01,76162,81,45,36
2021-03-01,76163,38,23,15
2021-03-01,76164,2054,1201,853
2021-03-01,76166,NA,NA,NA
2021-03-01,76177,3209,2050,1159
2021-03-01,76179,10770,6732,4038
2021-03-01,76180,8220,5165,3055
2021-03-01,76181,6,NA,NA
2021-03-01,76182,8303,5257,3046
2021-03-01,76185,66,40,26
2021-03-01,76192,NA,NA,NA
2021-03-01,76193,NA,NA,NA
2021-03-01,76196,316,246,70
2021-03-01,76198,NA,NA,NA
2021-03-01,76201,3513,2450,1063
2021-03-01,76202,91,61,30
2021-03-01,76203,17,12,NA
2021-03-01,76204,21,15,6
2021-03-01,76205,3018,2209,809
2021-03-01,76206,39,27,12
2021-03-01,76207,4939,3757,1182
2021-03-01,76208,4418,3213,1205
2021-03-01,76209,4232,3044,1188
2021-03-01,76210,8934,6359,2575
2021-03-01,76225,441,285,156
2021-03-01,76226,7161,5058,2103
2021-03-01,76227,6016,4295,1721
2021-03-01,76228,366,209,157
2021-03-01,76230,1772,1047,725
2021-03-01,76233,489,313,176
2021-03-01,76234,3688,2323,1365
2021-03-01,76238,104,67,37
2021-03-01,76239,217,128,89
2021-03-01,76240,4317,3155,1162
2021-03-01,76241,95,65,30
2021-03-01,76244,11438,7175,4263
2021-03-01,76245,300,214,86
2021-03-01,76246,15,10,NA
2021-03-01,76247,2227,1580,647
2021-03-01,76248,10495,6568,3927
2021-03-01,76249,1323,941,382
2021-03-01,76250,258,170,88
2021-03-01,76251,189,110,79
2021-03-01,76252,545,385,160
2021-03-01,76253,9,NA,NA
2021-03-01,76255,1649,957,692
2021-03-01,76258,1229,868,361
2021-03-01,76259,695,494,201
2021-03-01,76261,67,36,31
2021-03-01,76262,7592,5135,2457
2021-03-01,76263,19,11,8
2021-03-01,76264,164,105,59
2021-03-01,76265,316,185,131
2021-03-01,76266,2219,1595,624
2021-03-01,76267,26,17,9
2021-03-01,76268,31,19,12
2021-03-01,76270,450,281,169
2021-03-01,76271,222,147,75
2021-03-01,76272,741,528,213
2021-03-01,76273,1134,790,344
2021-03-01,76301,2624,1606,1018
2021-03-01,76302,2912,1831,1081
2021-03-01,76305,1404,855,549
2021-03-01,76306,2524,1555,969
2021-03-01,76307,104,65,39
2021-03-01,76308,6139,3710,2429
2021-03-01,76309,3318,2035,1283
2021-03-01,76310,5991,3633,2358
2021-03-01,76311,142,85,57
2021-03-01,76351,448,271,177
2021-03-01,76352,13,7,6
2021-03-01,76354,2628,1636,992
2021-03-01,76357,225,126,99
2021-03-01,76360,1180,647,533
2021-03-01,76363,68,43,25
2021-03-01,76364,41,25,16
2021-03-01,76365,2188,1240,948
2021-03-01,76366,530,368,162
2021-03-01,76367,2566,1601,965
2021-03-01,76369,42,25,17
2021-03-01,76370,73,42,31
2021-03-01,76371,506,326,180
2021-03-01,76372,139,89,50
2021-03-01,76373,46,28,18
2021-03-01,76374,996,616,380
2021-03-01,76377,206,126,80
2021-03-01,76379,120,76,44
2021-03-01,76380,1600,893,707
2021-03-01,76384,3707,2493,1214
2021-03-01,76385,114,82,32
2021-03-01,76388,87,52,35
2021-03-01,76389,319,203,116
2021-03-01,76401,4005,2832,1173
2021-03-01,76402,10,6,NA
