"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-04-19,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,12,7,5,532,42,500
2020-04-19,"M","Waco","M - Waco",330048,NA,1,0,1,254,12,161
2020-04-19,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,17,13,4,276,27,254
2020-04-19,"O","Austin","O - Austin",2375407,NA,25,12,13,1200,172,1212
2020-04-19,"P","San Antonio","P - San Antonio",2945792,NA,46,28,18,2260,299,3332
2020-04-19,"Q","Houston","Q - Houston",6688587,NA,535,300,235,3816,394,6944
2020-04-19,"R","Galveston","R - Galveston",1309237,NA,94,67,27,667,47,836
2020-04-19,"S","Victoria","S - Victoria",186672,NA,19,16,3,294,33,211
2020-04-19,"T","Laredo","T - Laredo",295669,NA,25,10,15,120,12,222
2020-04-19,"U","Corpus Christi","U - Corpus Christi",630897,NA,8,5,3,384,25,802
2020-04-19,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,57,36,21,865,104,1327
2020-04-20,"A","Amarillo","A - Amarillo",440127,NA,17,11,6,572,67,286
2020-04-20,"B","Lubbock","B - Lubbock",513580,NA,32,15,17,600,81,736
2020-04-20,"C","Wichita Falls","C - Wichita Falls",219793,NA,2,2,0,384,23,61
2020-04-20,"D","Abilene","D - Abilene",306972,NA,6,4,2,443,22,178
2020-04-20,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,410,222,188,5076,761,7922
2020-04-20,"F","Paris","F - Paris",273329,NA,16,7,9,NA,29,468
2020-04-20,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,45,25,20,610,57,960
2020-04-20,"H","Lufkin","H - Lufkin",272151,NA,24,15,9,287,23,219
2020-04-20,"I","El Paso","I - El Paso",881765,NA,29,10,19,710,79,583
2020-04-20,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,10,8,2,622,49,614
2020-04-20,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,285,16,201
2020-04-20,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,11,6,5,511,46,488
2020-04-20,"M","Waco","M - Waco",330048,NA,1,0,1,353,21,142
2020-04-20,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,9,8,1,260,29,116
2020-04-20,"O","Austin","O - Austin",2375407,NA,27,20,7,1188,172,1050
2020-04-20,"P","San Antonio","P - San Antonio",2945792,NA,38,21,17,2214,306,2155
2020-04-20,"Q","Houston","Q - Houston",6688587,NA,516,286,230,3857,373,7485
2020-04-20,"R","Galveston","R - Galveston",1309237,NA,110,67,43,595,53,992
2020-04-20,"S","Victoria","S - Victoria",186672,NA,21,16,5,299,32,225
2020-04-20,"T","Laredo","T - Laredo",295669,NA,27,13,14,124,13,201
2020-04-20,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,6,3,382,29,740
2020-04-20,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,54,32,22,872,105,1235
2020-04-21,"A","Amarillo","A - Amarillo",440127,NA,17,11,6,572,67,286
2020-04-21,"B","Lubbock","B - Lubbock",513580,NA,46,27,19,534,79,769
2020-04-21,"C","Wichita Falls","C - Wichita Falls",219793,NA,4,3,1,354,22,209
2020-04-21,"D","Abilene","D - Abilene",306972,NA,7,5,2,420,21,301
2020-04-21,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,443,271,172,5728,796,8385
2020-04-21,"F","Paris","F - Paris",273329,NA,19,9,10,NA,27,470
2020-04-21,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,47,29,18,659,77,1030
2020-04-21,"H","Lufkin","H - Lufkin",272151,NA,24,15,9,286,26,219
2020-04-21,"I","El Paso","I - El Paso",881765,NA,49,20,29,296,37,940
2020-04-21,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,8,6,2,661,44,622
2020-04-21,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,264,15,230
2020-04-21,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,15,4,11,635,48,527
