"Level","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"Guadalupe",2020-05-17,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-18,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-19,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-20,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-21,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-22,5,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-23,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-24,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-25,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-26,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-27,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-28,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-29,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-30,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-31,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-01,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-02,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-03,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-04,7,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-05,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-06,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-07,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-08,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-09,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-10,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-11,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-12,6,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-13,5,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-14,6,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-15,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-16,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-17,9,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-18,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-19,94,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-06-20,31,NA,NA,NA,NA,NA,NA
