"Date","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Group_Type"
2020-06-17,"80+ years",904,0.0492750463316254,239,265,0.399096385542169,0,"Age"
2020-06-17,"Unknown",13,0.000708601329990189,-110,2,0.00301204819277108,0,"Age"
2020-06-18,"<1 year",72,0.00383733944465171,2,0,0,0,"Age"
2020-06-18,"1-9 years",301,0.0160422107338912,6,0,0,0,"Age"
2020-06-18,"10-19 years",775,0.0413046954111816,14,2,0.00301204819277108,0,"Age"
2020-06-18,"20-29 years",3057,0.16292703725417,71,11,0.016566265060241,0,"Age"
2020-06-18,"30-39 years",3457,0.184245589724458,83,13,0.019578313253012,0,"Age"
2020-06-18,"40-49 years",3405,0.18147417790332,50,26,0.0391566265060241,0,"Age"
2020-06-18,"50-59 years",3310,0.176411021691627,66,72,0.108433734939759,0,"Age"
2020-06-18,"60-64 years",1330,0.0708841869637052,27,60,0.0903614457831325,0,"Age"
2020-06-18,"65-69 years",1000,0.0532963811757182,29,74,0.11144578313253,0,"Age"
2020-06-18,"70-74 years",633,0.0337366092842296,24,69,0.103915662650602,0,"Age"
2020-06-18,"75-79 years",469,0.0249960027714118,8,70,0.105421686746988,0,"Age"
2020-06-18,"80+ years",941,0.0501518946863508,37,265,0.399096385542169,0,"Age"
2020-06-18,"Unknown",13,0.000692852955284336,0,2,0.00301204819277108,0,"Age"
2020-06-19,"<1 year",73,0.00383161872769263,1,0,0,0,"Age"
2020-06-19,"1-9 years",304,0.0159563300440899,3,0,0,0,"Age"
2020-06-19,"10-19 years",790,0.041465462943523,15,2,0.00301204819277108,0,"Age"
2020-06-19,"20-29 years",3117,0.163604870879698,60,11,0.016566265060241,0,"Age"
2020-06-19,"30-39 years",3510,0.184232626495906,53,13,0.019578313253012,0,"Age"
2020-06-19,"40-49 years",3461,0.181660718034852,56,26,0.0391566265060241,0,"Age"
2020-06-19,"50-59 years",3344,0.175519630484988,34,72,0.108433734939759,0,"Age"
2020-06-19,"60-64 years",1343,0.0704912870039891,13,60,0.0903614457831325,0,"Age"
2020-06-19,"65-69 years",1015,0.0532752466932606,15,74,0.11144578313253,0,"Age"
2020-06-19,"70-74 years",646,0.0339072013436909,13,69,0.103915662650602,0,"Age"
2020-06-19,"75-79 years",473,0.0248267898383372,4,70,0.105421686746988,0,"Age"
2020-06-19,"80+ years",962,0.0504933865211002,21,265,0.399096385542169,0,"Age"
2020-06-19,"Unknown",14,0.000734830988872559,1,2,0.00301204819277108,0,"Age"
2020-06-20,"<1 year",73,0.00377475567506076,0,0,0,0,"Age"
2020-06-20,"1-9 years",304,0.0157195304824448,0,0,0,0,"Age"
2020-06-20,"10-19 years",802,0.0414706034438182,12,0,0,-2,"Age"
2020-06-20,"20-29 years",3173,0.164072599410518,56,11,0.0166163141993958,0,"Age"
2020-06-20,"30-39 years",3553,0.183722012513574,43,13,0.0196374622356495,0,"Age"
2020-06-20,"40-49 years",3518,0.181912198148818,57,26,0.0392749244712991,0,"Age"
2020-06-20,"50-59 years",3397,0.175655411344951,53,72,0.108761329305136,0,"Age"
2020-06-20,"60-64 years",1369,0.0707895961528518,26,60,0.0906344410876133,0,"Age"
2020-06-20,"65-69 years",1022,0.0528465794508506,7,74,0.11178247734139,0,"Age"
2020-06-20,"70-74 years",652,0.0337142561662961,6,69,0.104229607250755,0,"Age"
2020-06-20,"75-79 years",485,0.0250788561973215,12,70,0.105740181268882,0,"Age"
2020-06-20,"80+ years",977,0.050519675267594,15,265,0.400302114803625,0,"Age"
2020-06-20,"Unknown",14,0.000723925745902063,0,2,0.00302114803625378,0,"Age"
2020-06-21,"<1 year",74,0.00379681888147768,1,0,0,0,"Age"
2020-06-21,"1-9 years",306,0.0157003591585428,2,0,0,0,"Age"
2020-06-21,"10-19 years",812,0.0416623909697281,10,0,0,0,"Age"
2020-06-21,"20-29 years",3208,0.164597229348384,35,11,0.0166163141993958,0,"Age"
2020-06-21,"30-39 years",3575,0.183427398665983,22,13,0.0196374622356495,0,"Age"
2020-06-21,"40-49 years",3544,0.181836839404823,26,26,0.0392749244712991,0,"Age"
2020-06-21,"50-59 years",3431,0.17603899435608,34,72,0.108761329305136,0,"Age"
2020-06-21,"60-64 years",1377,0.0706516162134428,8,60,0.0906344410876133,0,"Age"
2020-06-21,"65-69 years",1030,0.0528476141611083,8,74,0.11178247734139,0,"Age"
2020-06-21,"70-74 years",655,0.0336069779374038,3,69,0.104229607250755,0,"Age"
2020-06-21,"75-79 years",488,0.0250384812724474,3,70,0.105740181268882,0,"Age"
2020-06-21,"80+ years",990,0.0507952796305798,13,265,0.400302114803625,0,"Age"
2020-06-21,"Unknown",0,0,-14,2,0.00302114803625378,0,"Age"
2020-06-22,"<1 year",74,0.00377012431220705,0,0,0,0,"Age"
2020-06-22,"1-9 years",308,0.0156918687589158,2,0,0,0,"Age"
2020-06-22,"10-19 years",820,0.0417770531893214,8,0,0,0,"Age"
2020-06-22,"20-29 years",3242,0.165172202975341,34,11,0.0166163141993958,0,"Age"
2020-06-22,"30-39 years",3598,0.183309557774608,23,13,0.0196374622356495,0,"Age"
2020-06-22,"40-49 years",3562,0.181475443244345,18,26,0.0392749244712991,0,"Age"
2020-06-22,"50-59 years",3455,0.176024047279397,24,72,0.108761329305136,0,"Age"
2020-06-22,"60-64 years",1387,0.0706643570409619,10,60,0.0906344410876133,0,"Age"
2020-06-22,"65-69 years",1036,0.0527817403708987,6,74,0.11178247734139,0,"Age"
2020-06-22,"70-74 years",663,0.0337782759323416,8,69,0.104229607250755,0,"Age"
