"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Cases_Daily_NO_NEGATIVE","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Deaths_Daily_NO_NEGATIVE"
2020-06-09,"Race","Other",97,0.00639419907712591,0,0,5,0.00753012048192771,0,0
2020-06-09,"Race","Unknown",1949,0.12847725774555,0,0,121,0.182228915662651,0,0
2020-06-09,"Race","White",4174,0.275148319050758,0,0,269,0.405120481927711,0,0
2020-06-10,"Age","1-9 years",177,0.0114097853413266,3,3,0,0,0,0
2020-06-10,"Age","10-19 years",463,0.0298459356668601,11,11,2,0.00301204819277108,0,0
2020-06-10,"Age","20-29 years",2417,0.15580480886998,84,84,11,0.016566265060241,0,0
2020-06-10,"Age","30-39 years",2853,0.183910268806807,69,69,13,0.019578313253012,0,0
2020-06-10,"Age","40-49 years",2897,0.18674659962612,62,62,26,0.0391566265060241,0,0
2020-06-10,"Age","50-59 years",2847,0.183523496422355,46,46,72,0.108433734939759,0,0
2020-06-10,"Age","60-64 years",1206,0.0777412492748018,25,25,60,0.0903614457831325,0,0
2020-06-10,"Age","65-69 years",874,0.0563398440018049,13,13,74,0.11144578313253,0,0
2020-06-10,"Age","70-74 years",571,0.0368078385869916,12,12,69,0.103915662650602,0,0
2020-06-10,"Age","75-79 years",383,0.0246889705408367,9,9,70,0.105421686746988,0,0
2020-06-10,"Age","80+ years",662,0.0426738864178431,7,7,265,0.399096385542169,0,0
2020-06-10,"Age","<1 year",40,0.00257848256301167,2,2,0,0,0,0
2020-06-10,"Age","Unknown",123,0.00792883388126088,0,0,2,0.00301204819277108,0,0
2020-06-10,"Gender","Female",6962,0.448784890092181,184,184,272,0.409638554216867,0,0
2020-06-10,"Gender","Male",8264,0.532714497518211,156,156,364,0.548192771084337,0,0
2020-06-10,"Gender","Unknown",287,0.0185006123896087,3,3,28,0.0421686746987952,0,0
2020-06-10,"Race","Asian",518,0.0333913491910011,15,15,13,0.019578313253012,0,0
2020-06-10,"Race","Black",2523,0.162637787661961,110,110,85,0.128012048192771,0,0
2020-06-10,"Race","Hispanic",6178,0.398246631857152,144,144,171,0.257530120481928,0,0
2020-06-10,"Race","Other",99,0.00638174434345388,2,2,5,0.00753012048192771,0,0
2020-06-10,"Race","Unknown",1980,0.127634886869078,31,31,121,0.182228915662651,0,0
2020-06-10,"Race","White",4215,0.271707600077354,41,41,269,0.405120481927711,0,0
2020-06-11,"Age","1-9 years",178,0.0114432658309225,1,1,0,0,0,0
2020-06-11,"Age","10-19 years",465,0.029893924783028,2,2,2,0.00301204819277108,0,0
2020-06-11,"Age","20-29 years",2424,0.155834136933462,7,7,11,0.016566265060241,0,0
2020-06-11,"Age","30-39 years",2859,0.183799421407907,6,6,13,0.019578313253012,0,0
2020-06-11,"Age","40-49 years",2901,0.186499517839923,4,4,26,0.0391566265060241,0,0
2020-06-11,"Age","50-59 years",2855,0.183542269366763,8,8,72,0.108433734939759,0,0
2020-06-11,"Age","60-64 years",1211,0.0778527804564449,5,5,60,0.0903614457831325,0,0
2020-06-11,"Age","65-69 years",876,0.0563162970106075,2,2,74,0.11144578313253,0,0
2020-06-11,"Age","70-74 years",577,0.0370941819350691,6,6,69,0.103915662650602,0,0
2020-06-11,"Age","75-79 years",383,0.0246223079395693,0,0,70,0.105421686746988,0,0
2020-06-11,"Age","80+ years",663,0.0426229508196721,1,1,265,0.399096385542169,0,0
2020-06-11,"Age","<1 year",40,0.00257152041144327,0,0,0,0,0,0
2020-06-11,"Age","Unknown",123,0.00790742526518804,0,0,2,0.00301204819277108,0,0
2020-06-11,"Gender","Female",6980,0.44873031179685,18,18,272,0.409638554216867,0,0
2020-06-11,"Gender","Male",8288,0.532819029251045,24,24,364,0.548192771084337,0,0
2020-06-11,"Gender","Unknown",287,0.0184506589521054,0,0,28,0.0421686746987952,0,0
2020-06-11,"Race","Asian",519,0.0333654773384764,1,1,13,0.019578313253012,0,0
2020-06-11,"Race","Black",2528,0.162520090003214,5,5,85,0.128012048192771,0,0
2020-06-11,"Race","Hispanic",6204,0.398842815814851,26,26,171,0.257530120481928,0,0
2020-06-11,"Race","Other",99,0.00636451301832208,0,0,5,0.00753012048192771,0,0
2020-06-11,"Race","Unknown",1981,0.127354548376728,1,1,121,0.182228915662651,0,0
2020-06-11,"Race","White",4224,0.271552555448409,9,9,269,0.405120481927711,0,0
2020-06-12,"Age","1-9 years",180,0.0115236875800256,2,2,0,0,0,0
2020-06-12,"Age","10-19 years",470,0.030089628681178,5,5,2,0.00301204819277108,0,0
2020-06-12,"Age","20-29 years",2434,0.155825864276568,10,10,11,0.016566265060241,0,0
2020-06-12,"Age","30-39 years",2861,0.183162612035851,2,2,13,0.019578313253012,0,0
2020-06-12,"Age","40-49 years",2924,0.18719590268886,23,23,26,0.0391566265060241,0,0
2020-06-12,"Age","50-59 years",2855,0.182778489116517,0,0,72,0.108433734939759,0,0
2020-06-12,"Age","60-64 years",1216,0.0778489116517286,5,5,60,0.0903614457831325,0,0
2020-06-12,"Age","65-69 years",882,0.0564660691421255,6,6,74,0.11144578313253,0,0
2020-06-12,"Age","70-74 years",584,0.0373879641485275,7,7,69,0.103915662650602,0,0
2020-06-12,"Age","75-79 years",387,0.0247759282970551,4,4,70,0.105421686746988,0,0
2020-06-12,"Age","80+ years",663,0.0424455825864277,0,0,265,0.399096385542169,0,0
