Date,County,Location_ID,sample_location,key_plot_id,ptc_15d,detect_prop_15d,percentile
2021-12-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
2021-12-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
2021-12-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,424,100,50.333
2021-12-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,681,100,50.333
2021-12-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1834,100,72.333
2021-12-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,4693,100,72.333
2021-12-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-2,100,81.333
2021-12-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,81.333
2021-12-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,78
2021-12-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2021-12-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2021-12-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2021-12-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2022-01-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2022-01-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-43,100,78
2022-01-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,58.667
2022-01-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-77,100,58.667
2022-01-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-59,100,48
2022-01-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-27,100,48
2022-01-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,45
2022-01-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,185,100,45
2022-01-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-55,100,39
2022-01-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-93,100,39
2022-01-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-94,100,27.667
2022-02-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,27.667
2022-02-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-63,100,14.333
2022-02-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,168,100,14.333
2022-02-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,381,100,15.333
2022-02-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,762,100,15.333
2022-02-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-35,100,16
