County,Date,viral_load,source
Tarrant,2023-02-22,274.49994543,biobot
Tarrant,2023-03-01,427.31488515,biobot
Tarrant,2023-03-08,323.289820855,biobot
Tarrant,2023-03-15,208.35275183,biobot
Tarrant,2023-03-22,100.56299413,biobot
Tarrant,2023-03-29,128.48864800500002,biobot
Tarrant,2023-04-12,125.466213255,biobot
Tarrant,2023-04-19,66.299379695,biobot
Tarrant,2023-04-26,106.827269185,biobot
Tarrant,2023-05-03,109.87783828,biobot
Tarrant,2023-05-10,139.15189456000002,biobot
Tarrant,2023-05-17,93.327139845,biobot
Tarrant,2023-05-24,40.6508624,biobot
Tarrant,2023-05-31,59.89057402,biobot
Tarrant,2023-06-07,79.060980505,biobot
Tarrant,2023-06-14,64.78553517,biobot
Tarrant,2023-06-21,79.18417683,biobot
Tarrant,2023-06-28,112.135358125,biobot
Tarrant,2023-07-05,81.82860596,biobot
Tarrant,2023-07-12,132.517242595,biobot
Tarrant,2023-07-19,119.10262758,biobot
Tarrant,2023-07-26,137.76755708000002,biobot
Tarrant,2023-08-23,388.280679848,biobot
Tarrant,2023-08-30,365.449052658,biobot
Travis,2021-06-23,71.46917085749999,biobot
Travis,2021-06-30,22.47417698,biobot
Travis,2021-07-07,67.9200280425,biobot
Travis,2021-07-14,95.33210387000004,biobot
Travis,2021-07-21,253.5377659175,biobot
Travis,2021-07-28,380.3815753975,biobot
Travis,2021-08-04,286.88999962,biobot
Travis,2021-08-11,323.02868817,biobot
Travis,2021-08-18,445.3855022825,biobot
Travis,2022-01-26,,biobot
Travis,2022-02-02,263.252305495,biobot
Travis,2022-02-09,99.75842545,biobot
Travis,2022-02-16,72.182641115,biobot
Travis,2022-02-23,134.859678205,biobot
Travis,2022-03-02,84.78130935249999,biobot
Travis,2022-03-09,36.550277045,biobot
Travis,2022-03-16,39.459919545,biobot
Travis,2022-03-23,72.42214729499999,biobot
Travis,2022-03-30,86.064697295,biobot
Travis,2022-04-06,104.09904905,biobot
Travis,2022-04-13,153.49951047000002,biobot
Travis,2022-04-20,95.654880075,biobot
Travis,2022-04-27,161.06877659,biobot
Travis,2022-05-04,171.76959061,biobot
Travis,2022-05-11,160.121832625,biobot
Travis,2022-05-18,307.4858922925,biobot
Travis,2022-05-25,334.22259692833336,biobot
Travis,2022-06-01,461.777690845,biobot
Travis,2022-06-08,425.02722494,biobot
Travis,2022-06-15,527.98404281,biobot
Travis,2022-06-22,555.5851229674998,biobot
Travis,2022-06-29,479.1656907475,biobot
Travis,2022-07-06,599.909380365,biobot
Travis,2022-07-13,551.87904473,biobot
Travis,2022-07-20,675.6194529025,biobot
Travis,2022-07-27,490.968126385,biobot
Travis,2022-08-03,541.0137557408334,biobot
Travis,2022-08-10,448.2881118975,biobot
Travis,2022-08-17,450.0847448525,biobot
Travis,2022-08-24,294.963742805,biobot
Travis,2022-08-31,268.622818945,biobot
Travis,2022-09-07,366.749980415,biobot
Travis,2022-09-14,322.68220818500004,biobot
Travis,2022-09-28,176.8975246925,biobot
Travis,2022-10-05,228.166790965,biobot
Travis,2022-10-12,358.7928833675,biobot
Travis,2022-10-19,283.689755685,biobot
Travis,2022-10-26,138.6683096325,biobot
Travis,2022-11-02,404.4037383075,biobot
Travis,2022-11-09,183.85585271500003,biobot
Travis,2022-11-16,450.8547128225,biobot
Travis,2022-11-23,397.018253425,biobot
Travis,2022-11-30,444.16083602,biobot
Travis,2022-12-07,533.9863129199999,biobot
Travis,2022-12-14,425.8257165625,biobot
Travis,2022-12-21,597.74426924,biobot
Travis,2022-12-28,723.1551868900001,biobot
Travis,2023-01-04,597.3594571624999,biobot
Travis,2023-01-11,445.35818909500006,biobot
Travis,2023-01-18,414.75176148750006,biobot
Travis,2023-01-25,455.4968783750001,biobot
Travis,2023-02-01,578.9630581749999,biobot
Travis,2023-02-08,364.145878165,biobot
Travis,2023-02-15,301.8903438525,biobot
Travis,2023-02-22,281.26072808500004,biobot
Travis,2023-03-01,253.39179723,biobot
Travis,2023-03-08,182.1778019375,biobot
Travis,2023-03-15,274.5465282925,biobot
Travis,2023-03-22,233.0511081775,biobot
Travis,2023-03-29,200.54308915166663,biobot
Travis,2023-04-05,121.90600544,biobot
Travis,2023-04-12,125.6011032075,biobot
Travis,2023-04-19,92.83443355,biobot
Travis,2023-04-26,132.8031675,biobot
Travis,2023-05-03,191.50617428750004,biobot
Travis,2023-05-10,216.620514405,biobot
Travis,2023-05-17,140.66766724,biobot
Travis,2023-05-24,91.6409524125,biobot
Travis,2023-05-31,110.36094281,biobot
Travis,2023-06-07,92.5330378675,biobot
Travis,2023-06-14,82.1552215175,biobot
Travis,2023-06-21,95.119173315,biobot
Travis,2023-06-28,126.90689264750002,biobot
Travis,2023-07-05,137.61238684499995,biobot
Travis,2023-07-12,122.599080555,biobot
Travis,2023-07-26,148.931781013,biobot
Travis,2023-08-23,360.483233426,biobot
Travis,2023-08-30,316.4332255105,biobot
Webb,2021-06-23,3.13147509,biobot
Webb,2021-06-30,3.95968231,biobot
Webb,2021-07-07,26.779452855,biobot
Webb,2021-07-14,23.41108486,biobot
Webb,2021-07-21,58.755459625,biobot
Webb,2021-07-28,93.3407842,biobot
Webb,2021-08-04,30.288615225,biobot
Webb,2021-08-11,89.98099156499998,biobot
Webb,2021-08-18,72.80641813,biobot
Webb,2021-08-25,128.14820577,biobot
Webb,2022-06-01,,biobot
Webb,2022-06-08,174.9801296057082,biobot
Webb,2022-06-15,201.37459201860943,biobot
Webb,2022-06-22,271.0127632009264,biobot
Webb,2022-06-29,190.8697606457483,biobot
Webb,2022-07-06,312.3685318253798,biobot
Webb,2022-07-13,528.9826115283706,biobot
Webb,2022-07-20,406.77586043908593,biobot
Webb,2022-07-27,1857.7042757329111,biobot
Webb,2022-08-03,351.7078868707522,biobot
Webb,2022-08-10,221.1468880413155,biobot
Webb,2022-08-17,213.1679513439856,biobot
Webb,2022-08-24,432.0811308727894,biobot
Webb,2022-08-31,333.88284235365035,biobot
Webb,2022-09-07,198.6837417403985,biobot
Webb,2022-09-14,381.369391505671,biobot
Webb,2022-09-28,53.8818297389028,biobot
Webb,2022-10-05,44.53569505444133,biobot
