"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-06-10,"Age","40-49 years",2897,0.18674659962612,26,0.0391566265060241
2020-06-10,"Age","50-59 years",2847,0.183523496422355,72,0.108433734939759
2020-06-10,"Age","60-64 years",1206,0.0777412492748018,60,0.0903614457831325
2020-06-10,"Age","65-69 years",874,0.0563398440018049,74,0.11144578313253
2020-06-10,"Age","70-74 years",571,0.0368078385869916,69,0.103915662650602
2020-06-10,"Age","75-79 years",383,0.0246889705408367,70,0.105421686746988
2020-06-10,"Age","80+ years",662,0.0426738864178431,265,0.399096385542169
2020-06-10,"Age","<1 year",40,0.00257848256301167,0,0
2020-06-10,"Age","Unknown",123,0.00792883388126088,2,0.00301204819277108
2020-06-10,"Gender","Female",6962,0.448784890092181,272,0.409638554216867
2020-06-10,"Gender","Male",8264,0.532714497518211,364,0.548192771084337
2020-06-10,"Gender","Unknown",287,0.0185006123896087,28,0.0421686746987952
2020-06-10,"Race","Asian",518,0.0333913491910011,13,0.019578313253012
2020-06-10,"Race","Black",2523,0.162637787661961,85,0.128012048192771
2020-06-10,"Race","Hispanic",6178,0.398246631857152,171,0.257530120481928
2020-06-10,"Race","Other",99,0.00638174434345388,5,0.00753012048192771
2020-06-10,"Race","Unknown",1980,0.127634886869078,121,0.182228915662651
2020-06-10,"Race","White",4215,0.271707600077354,269,0.405120481927711
2020-06-11,"Age","1-9 years",178,0.0114432658309225,0,0
2020-06-11,"Age","10-19 years",465,0.029893924783028,2,0.00301204819277108
2020-06-11,"Age","20-29 years",2424,0.155834136933462,11,0.016566265060241
2020-06-11,"Age","30-39 years",2859,0.183799421407907,13,0.019578313253012
2020-06-11,"Age","40-49 years",2901,0.186499517839923,26,0.0391566265060241
2020-06-11,"Age","50-59 years",2855,0.183542269366763,72,0.108433734939759
2020-06-11,"Age","60-64 years",1211,0.0778527804564449,60,0.0903614457831325
2020-06-11,"Age","65-69 years",876,0.0563162970106075,74,0.11144578313253
2020-06-11,"Age","70-74 years",577,0.0370941819350691,69,0.103915662650602
2020-06-11,"Age","75-79 years",383,0.0246223079395693,70,0.105421686746988
2020-06-11,"Age","80+ years",663,0.0426229508196721,265,0.399096385542169
2020-06-11,"Age","<1 year",40,0.00257152041144327,0,0
2020-06-11,"Age","Unknown",123,0.00790742526518804,2,0.00301204819277108
2020-06-11,"Gender","Female",6980,0.44873031179685,272,0.409638554216867
2020-06-11,"Gender","Male",8288,0.532819029251045,364,0.548192771084337
2020-06-11,"Gender","Unknown",287,0.0184506589521054,28,0.0421686746987952
2020-06-11,"Race","Asian",519,0.0333654773384764,13,0.019578313253012
2020-06-11,"Race","Black",2528,0.162520090003214,85,0.128012048192771
2020-06-11,"Race","Hispanic",6204,0.398842815814851,171,0.257530120481928
2020-06-11,"Race","Other",99,0.00636451301832208,5,0.00753012048192771
2020-06-11,"Race","Unknown",1981,0.127354548376728,121,0.182228915662651
2020-06-11,"Race","White",4224,0.271552555448409,269,0.405120481927711
2020-06-12,"Age","1-9 years",180,0.0115236875800256,0,0
2020-06-12,"Age","10-19 years",470,0.030089628681178,2,0.00301204819277108
2020-06-12,"Age","20-29 years",2434,0.155825864276568,11,0.016566265060241
2020-06-12,"Age","30-39 years",2861,0.183162612035851,13,0.019578313253012
2020-06-12,"Age","40-49 years",2924,0.18719590268886,26,0.0391566265060241
2020-06-12,"Age","50-59 years",2855,0.182778489116517,72,0.108433734939759
2020-06-12,"Age","60-64 years",1216,0.0778489116517286,60,0.0903614457831325
2020-06-12,"Age","65-69 years",882,0.0564660691421255,74,0.11144578313253
2020-06-12,"Age","70-74 years",584,0.0373879641485275,69,0.103915662650602
2020-06-12,"Age","75-79 years",387,0.0247759282970551,70,0.105421686746988
2020-06-12,"Age","80+ years",663,0.0424455825864277,265,0.399096385542169
2020-06-12,"Age","<1 year",41,0.00262483994878361,0,0
2020-06-12,"Age","Unknown",123,0.00787451984635083,2,0.00301204819277108
2020-06-12,"Gender","Female",7006,0.448527528809219,272,0.409638554216867
2020-06-12,"Gender","Male",8325,0.532970550576184,364,0.548192771084337
2020-06-12,"Gender","Unknown",289,0.0185019206145967,28,0.0421686746987952
2020-06-12,"Race","Asian",519,0.0332266325224072,13,0.019578313253012
2020-06-12,"Race","Black",2532,0.162099871959027,85,0.128012048192771
2020-06-12,"Race","Hispanic",6271,0.401472471190781,171,0.257530120481928
2020-06-12,"Race","Other",99,0.00633802816901408,5,0.00753012048192771
2020-06-12,"Race","Unknown",1969,0.126056338028169,121,0.182228915662651
2020-06-12,"Race","White",4230,0.270806658130602,269,0.405120481927711
2020-06-15,"Age","1-9 years",180,0.0114781277898227,0,0
2020-06-15,"Age","10-19 years",471,0.0300344343833695,2,0.00301204819277108
2020-06-15,"Age","20-29 years",2436,0.155337329422268,11,0.016566265060241
2020-06-15,"Age","30-39 years",2869,0.182948603494452,13,0.019578313253012
2020-06-15,"Age","40-49 years",2931,0.18690218084428,26,0.0391566265060241
2020-06-15,"Age","50-59 years",2873,0.183203673000893,72,0.108433734939759
2020-06-15,"Age","60-64 years",1224,0.0780512689707945,60,0.0903614457831325
2020-06-15,"Age","65-69 years",887,0.056561663053182,74,0.11144578313253
2020-06-15,"Age","70-74 years",592,0.0377502869531947,69,0.103915662650602
2020-06-15,"Age","75-79 years",391,0.0249330442545594,70,0.105421686746988
2020-06-15,"Age","80+ years",664,0.0423415380691238,265,0.399096385542169
2020-06-15,"Age","<1 year",41,0.00261446244101518,0,0
2020-06-15,"Age","Unknown",123,0.00784338732304553,2,0.00301204819277108
2020-06-15,"Gender","Female",7006,0.446754240530545,272,0.409638554216867
2020-06-15,"Gender","Male",8386,0.534753220252519,364,0.548192771084337
2020-06-15,"Gender","Unknown",290,0.0184925392169366,28,0.0421686746987952
