"School","City","County","Deaths_Cumulative","Cases_Cumulative","Date"
"University of Texas Health Science Center at Tyler","Tyler","Smith",0,28,2020-10-08
"Southwestern University","Georgetown","Williamson",0,29,2020-10-08
"Odessa College","Odessa","Ector",0,29,2020-10-08
"University of Houston-Victoria","Victoria","Victoria",0,30,2020-10-08
"Texas Woman’s University","Denton","Denton",0,31,2020-10-08
"Texas Wesleyan University","Fort Worth","Tarrant",0,31,2020-10-08
"University of Texas Permian Basin","Odessa","Ector",0,32,2020-10-08
"University of the Incarnate Word","San Antonio","Bexar",0,37,2020-10-08
"University of North Texas Health Science Center","Fort Worth","Tarrant",0,39,2020-10-08
"West Texas A&M University","Canyon","Randall",0,46,2020-10-08
"University of Houston-Clear Lake","Houston","Harris",0,46,2020-10-08
"Dallas Baptist University","Dallas","Dallas",0,46,2020-10-08
"LeTourneau University","Longview","Gregg",0,47,2020-10-08
"University of Texas at Dallas","Dallas","Dallas",0,50,2020-10-08
"Wayland Baptist University","Plainview","Hale",0,51,2020-10-08
"Midwestern State University","Wichita Falls","Wichita",0,51,2020-10-08
"University of Texas Medical Branch at Galveston","Galveston","Galveston",0,52,2020-10-08
"Texas A&M University-San Antonio","San Antonio","Bexar",0,54,2020-10-08
"Texas A&M International University","Laredo","Webb",0,74,2020-10-08
"Austin College","Sherman","Grayson",0,77,2020-10-08
"Sul Ross State University","Alpine","Brewster",0,82,2020-10-08
"Texas A&M University-Kingsville","Kingsville","Kleberg",0,88,2020-10-08
"University of Texas at Tyler","Tyler","Smith",0,96,2020-10-08
"Tyler Junior College","Tyler","Smith",0,97,2020-10-08
"Texas Tech University Health Sciences Center El Paso","El Paso","El Paso",0,100,2020-10-08
"McLennan Community College","Waco","McLennan",0,101,2020-10-08
"Abilene Christian University","Abilene","Taylor",0,101,2020-10-08
"University of Texas at Arlington","Arlington","Tarrant",0,104,2020-10-08
"Rice University","Houston","Harris",0,105,2020-10-08
"Texas A&M University-Corpus Christi","Corpus Christi","Nueces",0,107,2020-10-08
"University of Texas Rio Grande Valley","Edinburg","Hidalgo",0,119,2020-10-08
"University of Mary Hardin at Baylor","Belton","Bell",0,119,2020-10-08
"Angelo State University","San Angelo","Tom Green",0,127,2020-10-08
"South Texas College","McAllen","Hidalgo",0,154,2020-10-08
"Blinn College","Brenham","Washington",0,158,2020-10-08
"Lamar University","Beaumont","Jefferson",0,163,2020-10-08
"Prairie View A&M University","Prairie View","Waller",0,178,2020-10-08
"University of Texas at El Paso","El Paso","El Paso",0,197,2020-10-08
"Texas A&M University-Commerce","Commerce","Hunt",0,200,2020-10-08
"University of Texas Health Science Center at San Antonio","San Antonio","Bexar",0,228,2020-10-08
"Stephen F. Austin State University","Nacogdoches","Nacogdoches",0,231,2020-10-08
"University of Houston","Houston","Harris",0,245,2020-10-08
"University of North Texas","Denton","Denton",0,277,2020-10-08
"Tarleton State University","Stephenville","Erath",0,277,2020-10-08
"University of Texas Health Science Center at Houston","Houston","Harris",0,286,2020-10-08
"Texas Tech University Health Sciences Center","Lubbock","Lubbock",0,304,2020-10-08
"University of Texas Southwestern Medical Center","Dallas","Dallas",0,315,2020-10-08
"Sam Houston State University","Huntsville","Walker",0,476,2020-10-08
"Southern Methodist University","Dallas","Dallas",0,665,2020-10-08
"Texas State University","San Marcos","Hays",0,674,2020-10-08
"Baylor University","Waco","McLennan",0,1102,2020-10-08
"Texas Christian University","Fort Worth","Tarrant",0,1167,2020-10-08
"University of Texas at Austin","Austin","Travis",1,1361,2020-10-08
"Texas A&M University","College Station","Brazos",0,1661,2020-10-08
"Texas Tech University","Lubbock","Lubbock",0,1768,2020-10-08
