"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Colorado","65-69",1452,701,751,623,677,63,62,5,2,2,3,1,1,7,6,630,683,65,62,9,7,2,3,2,2,609,651,532,580,62,61,5,1,2,2,1,1,7,6,539,586,64,61,9,6,2,2,2,2,92,100,91,97,1,1,0,1,0,1,0,0,0,0,91,97,1,1,0,1,0,1,0,0
"Colorado","70-74",1143,567,576,507,513,48,56,6,0,2,0,1,1,3,6,509,519,49,56,8,5,3,1,1,1,499,513,441,453,47,53,5,0,2,0,1,1,3,6,443,459,48,53,7,5,3,1,1,1,68,63,66,60,1,3,1,0,0,0,0,0,0,0,66,60,1,3,1,0,0,0,0,0
"Colorado","75-79",898,429,469,388,427,41,40,0,0,0,1,0,0,0,1,388,428,41,40,0,0,0,2,0,0,389,428,350,387,39,39,0,0,0,1,0,0,0,1,350,388,39,39,0,0,0,2,0,0,40,41,38,40,2,1,0,0,0,0,0,0,0,0,38,40,2,1,0,0,0,0,0,0
"Colorado","80-84",558,269,289,252,264,16,21,0,1,0,0,0,1,1,2,253,266,16,21,1,3,0,0,0,1,227,255,211,233,15,20,0,1,0,0,0,1,1,0,212,233,15,20,1,1,0,0,0,1,42,34,41,31,1,1,0,0,0,0,0,0,0,2,41,33,1,1,0,2,0,0,0,0
"Colorado","85+",647,221,426,211,395,8,26,1,0,0,2,0,0,1,3,212,398,9,26,1,2,0,3,0,0,207,399,197,369,8,26,1,0,0,1,0,0,1,3,198,372,9,26,1,2,0,2,0,0,14,27,14,26,0,0,0,0,0,1,0,0,0,0,14,26,0,0,0,0,0,1,0,0
"Comal","0-4",8630,4489,4141,4112,3779,95,104,47,39,52,46,4,5,179,168,4287,3938,175,183,89,83,111,104,10,8,2697,2522,2448,2275,68,84,14,12,40,32,2,1,125,118,2570,2388,128,146,36,34,85,76,7,3,1792,1619,1664,1504,27,20,33,27,12,14,2,4,54,50,1717,1550,47,37,53,49,26,28,3,5
"Comal","5-9",9133,4644,4489,4231,4119,116,105,44,40,67,46,2,5,184,174,4404,4282,194,180,102,85,128,107,9,14,2977,2811,2703,2566,84,79,16,7,54,33,0,2,120,124,2818,2681,138,138,43,29,100,82,3,9,1667,1678,1528,1553,32,26,28,33,13,13,2,3,64,50,1586,1601,56,42,59,56,28,25,6,5
"Comal","10-14",9863,4999,4864,4576,4438,129,116,45,34,69,92,6,4,174,180,4740,4610,202,193,99,89,126,148,12,11,3189,3074,2902,2775,94,95,13,9,57,80,3,4,120,111,3015,2882,149,149,42,31,98,122,7,7,1810,1790,1674,1663,35,21,32,25,12,12,3,0,54,69,1725,1728,53,44,57,58,28,26,5,4
"Comal","15-19",9318,4831,4487,4510,4128,104,113,37,53,44,54,4,6,132,133,4634,4255,157,161,84,100,84,94,8,14,3102,2838,2866,2599,88,90,11,14,39,45,4,4,94,86,2954,2681,131,127,37,37,70,74,7,9,1729,1649,1644,1529,16,23,26,39,5,9,0,2,38,47,1680,1574,26,34,47,63,14,20,1,5
"Comal","20-24",7949,4040,3909,3700,3559,140,127,44,49,31,37,3,4,122,133,3814,3683,183,175,92,102,69,75,9,9,2482,2435,2253,2177,110,108,14,24,23,29,1,1,81,96,2329,2266,142,146,38,56,52,61,4,4,1558,1474,1447,1382,30,19,30,25,8,8,2,3,41,37,1485,1417,41,29,54,46,17,14,5,5
