"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-08-27,"7","37","38","75","78","129","64","295",NA,"140","67","207","1000","3225","981","6481",NA
2020-08-28,"1","13","17","30","15","37","8","69",NA,"29","36","65","60","576","149","820",NA
2020-08-28,"2","15","28","43","28","105","16","165",NA,"54","51","105","449","1307","327","2621",NA
2020-08-28,"3","70","90","160","87","310","149","610",NA,"93","98","191","491","1909","489","3241",NA
2020-08-28,"4","22","25","47","25","85","32","148",NA,"100","54","154","500","1757","372","2869",NA
2020-08-28,"5","55","13","68","58","154","49","284",NA,"106","29","135","417","1301","362","2141",NA
2020-08-28,"6","80","81","161","150","480","120","865",NA,"98","71","169","506","2976","620","5099",NA
2020-08-28,"7","38","37","75","79","127","64","294",NA,"137","70","207","944","3270","995","6516",NA
2020-08-29,"1","13","17","30","15","37","8","69",NA,"30","35","65","59","576","149","820",NA
2020-08-29,"2","15","28","43","28","105","16","165",NA,"54","52","106","433","1319","330","2626",NA
2020-08-29,"3","69","91","160","82","313","149","609",NA,"83","105","188","426","1942","501","3227",NA
2020-08-29,"4","23","24","47","25","85","32","148",NA,"96","58","154","453","1858","375","2922",NA
2020-08-29,"5","54","14","68","58","156","52","289",NA,"104","32","136","415","1299","362","2140",NA
2020-08-29,"6","78","83","161","135","492","120","866",NA,"97","72","169","480","3113","626","5303",NA
2020-08-29,"7","38","37","75","79","127","64","294",NA,"132","76","208","924","3348","1010","6616",NA
2020-08-30,"1","14","17","31","15","37","8","69",NA,"30","35","65","65","576","149","826",NA
2020-08-30,"2","15","28","43","29","105","16","166",NA,"57","50","107","422","1338","335","2644",NA
2020-08-30,"3","68","92","160","80","314","149","607",NA,"85","103","188","414","1949","503","3226",NA
2020-08-30,"4","23","24","47","25","85","32","148",NA,"96","58","154","461","1858","375","2930",NA
2020-08-30,"5","53","15","68","57","157","52","289",NA,"103","33","136","411","1300","362","2137",NA
2020-08-30,"6","77","84","161","134","492","120","865",NA,"94","75","169","484","3115","626","5310",NA
2020-08-30,"7","39","37","76","81","129","65","299",NA,"132","76","208","852","3416","1031","6657",NA
2020-08-31,"1","14","17","31","15","37","8","69",NA,"30","35","65","64","577","149","827",NA
2020-08-31,"2","15","28","43","28","105","17","166",NA,"56","51","107","425","1339","335","2648",NA
2020-08-31,"3","67","94","161","80","314","149","607",NA,"86","102","188","425","1950","504","3241",NA
2020-08-31,"4","23","24","47","25","85","32","154",NA,"91","63","154","448","1934","385","3009",NA
2020-08-31,"5","52","16","68","54","165","60","302",NA,"103","35","138","387","1386","372","2214",NA
2020-08-31,"6","78","83","161","129","495","120","864",NA,"95","74","169","485","3115","627","5316",NA
2020-08-31,"7","40","37","77","80","129","65","298",NA,"131","77","208","845","3432","1033","6672",NA
2020-09-01,"1","16","17","33","15","37","8","69",NA,"31","35","66","78","577","150","842",NA
2020-09-01,"2","15","28","43","28","105","17","166",NA,"53","54","107","422","1364","341","2647",NA
2020-09-01,"3","66","95","161","76","314","151","601",NA,"85","103","188","412","2011","524","3325",NA
2020-09-01,"4","22","25","47","25","85","32","154",NA,"91","65","156","429","1968","390","3030",NA
2020-09-01,"5","53","16","69","55","165","60","303",NA,"93","45","138","396","1416","377","2260",NA
2020-09-01,"6","71","89","160","125","499","123","867",NA,"91","78","169","472","3145","635","5342",NA
2020-09-01,"7","39","38","77","82","129","65","300",NA,"130","78","208","813","3535","1041","6764",NA
2020-09-02,"1","17","17","34","17","37","8","71",NA,"32","34","66","82","577","151","861",NA
2020-09-02,"2","15","28","43","31","105","17","169",NA,"55","52","107","395","1421","345","2669",NA
2020-09-02,"3","66","95","161","76","317","151","604",NA,"84","105","189","375","2047","530","3335",NA
2020-09-02,"4","21","26","47","22","85","32","149",NA,"88","68","156","487","1988","386","3106",NA
2020-09-02,"5","53","16","69","61","170","53","307",NA,"92","46","138","394","1442","375","2282",NA
2020-09-02,"6","71","91","162","110","523","131","884",NA,"89","80","169","442","3190","641","5366",NA
2020-09-02,"7","39","38","77","78","129","65","297",NA,"127","81","208","824","3583","1053","6835",NA
2020-09-03,"1","17","17","34","17","37","8","71",NA,"35","33","68","82","577","151","861",NA
2020-09-03,"2","15","28","43","31","105","17","169",NA,"55","52","107","412","1424","347","2702",NA
2020-09-03,"3","64","98","162","79","331","152","624",NA,"86","103","189","362","2075","532","3355",NA
2020-09-03,"4","22","26","48","24","85","32","151",NA,"88","68","156","456","1996","391","3088",NA
2020-09-03,"5","52","17","69","68","169","58","318",NA,"93","45","138","408","1451","378","2308",NA
2020-09-03,"6","69","93","162","127","525","131","904",NA,"88","81","169","431","3211","642","5379",NA
2020-09-03,"7","39","38","77","75","134","65","299",NA,"121","87","208","693","3644","1069","6853",NA
2020-09-04,"1","17","17","34","20","37","8","74",NA,"38","32","70","75","577","151","855",NA
2020-09-04,"2","12","31","43","16","129","17","179",NA,"55","52","107","352","1522","349","2742",NA
2020-09-04,"3","63","99","162","71","324","152","609",NA,"81","108","189","347","2099","534","3366",NA
2020-09-04,"4","21","27","48","25","106","34","171",NA,"86","71","157","444","2083","398","3174",NA
2020-09-04,"5","52","17","69","68","169","58","318",NA,"94","44","138","409","1632","379","2558",NA
2020-09-04,"6","69","94","163","118","526","131","899",NA,"87","82","169","415","3242","646","5399",NA
2020-09-04,"7","39","39","78","76","134","65","300",NA,"120","88","208","652","3698","1072","6880",NA
2020-09-05,"1","17","17","34","20","37","8","74",NA,"38","32","70","86","577","151","866",NA
2020-09-05,"2","13","30","43","16","129","17","179",NA,"54","54","108","322","1563","350","2774",NA
2020-09-05,"3","63","100","163","63","331","153","609",NA,"79","110","189","330","2113","539","3369",NA
2020-09-05,"4","21","27","48","25","106","34","171",NA,"88","69","157","441","2084","398","3192",NA
2020-09-05,"5","52","17","69","68","169","58","318",NA,"94","45","139","421","1644","376","2580",NA
2020-09-05,"6","64","99","163","119","534","131","907",NA,"91","78","169","384","3267","649","5392",NA
2020-09-05,"7","39","39","78","82","134","65","306",NA,"117","93","210","665","3869","1096","7160",NA
2020-09-06,"1","17","17","34","20","37","8","74",NA,"38","32","70","86","577","151","866",NA
2020-09-06,"2","13","30","43","15","129","19","180",NA,"53","55","108","292","1583","351","2769",NA
2020-09-06,"3","63","100","163","63","331","153","609",NA,"81","108","189","332","2118","538","3375",NA
2020-09-06,"4","22","26","48","26","106","34","172",NA,"89","68","157","439","2086","399","3184",NA
2020-09-06,"5","52","17","69","68","169","58","318",NA,"95","45","140","421","1644","376","2580",NA
2020-09-06,"6","62","101","163","115","535","132","908",NA,"91","78","169","376","3273","649","5401",NA
2020-09-06,"7","39","39","78","82","134","65","306",NA,"117","93","210","665","3869","1096","7160",NA
2020-09-08,"1","18","16","34","18","39","8","74",NA,"41","30","71","120","577","152","903",NA
2020-09-08,"2","13","30","43","16","129","19","181",NA,"53","56","109","297","1594","353","2789",NA
2020-09-08,"3","62","101","163","64","331","153","610",NA,"82","108","190","339","2130","540","3396",NA
2020-09-08,"4","22","26","48","25","106","35","172",NA,"93","65","158","489","2089","402","3249",NA
