District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
BURNET CISD,2021-09-12,027903,3105,NA,NA,76,10,43,12,31
MARBLE FALLS ISD,2021-09-12,027904,4041,NA,NA,14,4,0,8,10
LOCKHART ISD,2021-09-12,028902,6106,NA,NA,NA,NA,NA,NA,NA
LULING ISD,2021-09-12,028903,1394,NA,NA,NA,0,NA,NA,NA
PRAIRIE LEA ISD,2021-09-12,028906,226,NA,NA,NA,NA,NA,NA,NA
CALHOUN COUNTY ISD,2021-09-12,029901,3673,NA,NA,41,4,0,0,45
CROSS PLAINS ISD,2021-09-12,030901,364,NA,NA,NA,NA,NA,NA,NA
CLYDE CISD,2021-09-12,030902,1387,NA,NA,16,4,0,0,20
BAIRD ISD,2021-09-12,030903,283,NA,NA,NA,NA,NA,NA,NA
EULA ISD,2021-09-12,030906,448,NA,NA,NA,NA,NA,NA,NA
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,2021-09-12,031505,0,NA,NA,NA,NA,NA,NA,NA
BROWNSVILLE ISD,2021-09-12,031901,39352,NA,NA,143,5,0,0,148
HARLINGEN CISD,2021-09-12,031903,17817,NA,NA,NA,NA,NA,NA,NA
LA FERIA ISD,2021-09-12,031905,3091,NA,NA,9,1,1,9,0
LOS FRESNOS CISD,2021-09-12,031906,10509,NA,NA,26,3,2,27,0
POINT ISABEL ISD,2021-09-12,031909,2073,NA,NA,NA,NA,NA,NA,NA
RIO HONDO ISD,2021-09-12,031911,1734,NA,NA,NA,1,NA,NA,NA
SAN BENITO CISD,2021-09-12,031912,9723,NA,NA,0,3,2,1,0
SANTA MARIA ISD,2021-09-12,031913,572,NA,NA,NA,NA,NA,NA,NA
SANTA ROSA ISD,2021-09-12,031914,939,NA,NA,NA,2,NA,NA,NA
SOUTH TEXAS ISD,2021-09-12,031916,4163,NA,NA,8,3,0,2,9
PITTSBURG ISD,2021-09-12,032902,2355,NA,NA,8,3,0,1,10
GROOM ISD,2021-09-12,033901,138,NA,NA,NA,NA,NA,NA,NA
PANHANDLE ISD,2021-09-12,033902,654,NA,NA,NA,0,NA,NA,NA
WHITE DEER ISD,2021-09-12,033904,365,NA,NA,NA,NA,NA,NA,NA
ATLANTA ISD,2021-09-12,034901,1859,NA,NA,13,3,0,2,14
AVINGER ISD,2021-09-12,034902,134,NA,NA,NA,NA,NA,NA,NA
HUGHES SPRINGS ISD,2021-09-12,034903,1169,NA,NA,NA,NA,NA,NA,NA
LINDEN-KILDARE CISD,2021-09-12,034905,635,NA,NA,NA,NA,NA,NA,NA
MCLEOD ISD,2021-09-12,034906,392,NA,NA,NA,NA,NA,NA,NA
