"County","Date","TPR_CMS","Tests"
"Kinney",2020-09-02,NA,NA
"Kleberg",2020-09-02,0.188,NA
"Knox",2020-09-02,NA,NA
"La Salle",2020-09-02,0.029,NA
"Lamar",2020-09-02,0.123,NA
"Lamb",2020-09-02,0,NA
"Lampasas",2020-09-02,0.046,NA
"Lavaca",2020-09-02,0.106,NA
"Lee",2020-09-02,0.047,NA
"Leon",2020-09-02,0.092,NA
"Liberty",2020-09-02,0.155,NA
"Limestone",2020-09-02,0.129,NA
"Lipscomb",2020-09-02,NA,NA
"Live Oak",2020-09-02,0.206,NA
"Llano",2020-09-02,0.01,NA
"Loving",2020-09-02,NA,NA
"Lubbock",2020-09-02,0.139,NA
"Lynn",2020-09-02,NA,NA
"Madison",2020-09-02,0.088,NA
"Marion",2020-09-02,0.237,NA
"Martin",2020-09-02,NA,NA
"Mason",2020-09-02,0.03,NA
"Matagorda",2020-09-02,0.17,NA
"Maverick",2020-09-02,0.208,NA
"McCulloch",2020-09-02,0.381,NA
"McLennan",2020-09-02,0.109,NA
"McMullen",2020-09-02,0.455,NA
"Medina",2020-09-02,0.167,NA
"Menard",2020-09-02,0.067,NA
"Midland",2020-09-02,0.071,NA
"Milam",2020-09-02,0.167,NA
"Mills",2020-09-02,NA,NA
"Mitchell",2020-09-02,NA,NA
"Montague",2020-09-02,0.178,NA
"Montgomery",2020-09-02,0.082,NA
"Moore",2020-09-02,0.075,NA
"Morris",2020-09-02,0.032,NA
"Motley",2020-09-02,NA,NA
"Nacogdoches",2020-09-02,0.178,NA
"Navarro",2020-09-02,0.264,NA
"Newton",2020-09-02,0.167,NA
"Nolan",2020-09-02,0.562,NA
"Nueces",2020-09-02,0.125,NA
"Ochiltree",2020-09-02,NA,NA
"Oldham",2020-09-02,NA,NA
"Orange",2020-09-02,0.115,NA
"Palo Pinto",2020-09-02,0.179,NA
"Panola",2020-09-02,0.205,NA
"Parker",2020-09-02,0.096,NA
"Parmer",2020-09-02,0,NA
