county_names,sample_location,key_plot_id,population_served,first_sample_date,date_start,date_end,ptc_15d,percentile,detect_prop_15d
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-14,2021-05-28,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-15,2021-05-29,9,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-15,2021-05-29,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-16,2021-05-30,9,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-16,2021-05-30,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-17,2021-05-31,9,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-17,2021-05-31,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-18,2021-06-01,148,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-18,2021-06-01,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-19,2021-06-02,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-19,2021-06-02,10,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-20,2021-06-03,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-20,2021-06-03,6,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-21,2021-06-04,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-21,2021-06-04,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-22,2021-06-05,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-22,2021-06-05,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-23,2021-06-06,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-23,2021-06-06,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-24,2021-06-07,462,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-24,2021-06-07,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-25,2021-06-08,89,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-25,2021-06-08,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-26,2021-06-09,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-26,2021-06-09,3,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-27,2021-06-10,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-27,2021-06-10,-7,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-28,2021-06-11,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-28,2021-06-11,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-29,2021-06-12,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-29,2021-06-12,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-30,2021-06-13,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-30,2021-06-13,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-05-31,2021-06-14,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-05-31,2021-06-14,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-06-01,2021-06-15,-36,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-06-01,2021-06-15,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-06-02,2021-06-16,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-06-02,2021-06-16,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-06-03,2021-06-17,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-06-03,2021-06-17,-16,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-06-04,2021-06-18,,,
