"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Erath Excels Academy Inc",2020-09-20,"Erath",72802,91,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Way ISD",2020-09-20,"Erath,Hood,Somervell",72901,215,210,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,2,5
"Dublin ISD",2020-09-20,"Comanche,Erath",72902,1080,938,0,0,4,1,0,5,0,0,2,22,8,0,32,0
"Stephenville ISD",2020-09-20,"Erath",72903,3698,3216,1,2,9,4,0,5,11,12,9,41,20,0,21,61
"Bluff Dale ISD",2020-09-20,"Erath,Hood",72904,220,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huckabay ISD",2020-09-20,"Eastland,Erath,Palo Pinto",72908,283,273,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Lingleville ISD",2020-09-20,"Comanche,Eastland,Erath",72909,278,262,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2,0
"Morgan Mill ISD",2020-09-20,"Erath,Palo Pinto",72910,128,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilton ISD",2020-09-20,"Falls,McLennan",73901,519,477,0,1,3,3,1,2,4,2,1,13,8,2,11,11
"Marlin ISD",2020-09-20,"Falls,Limestone,McLennan,Milam,Robertson",73903,862,585,NA,NA,NA,NA,NA,NA,NA,1,0,13,7,0,12,9
"Westphalia ISD",2020-09-20,"Bell,Falls",73904,160,155,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Rosebud-Lott ISD",2020-09-20,"Bell,Falls,Milam,Robertson",73905,687,626,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bonham ISD",2020-09-20,"Fannin,Hunt",74903,1781,1551,1,0,8,0,0,9,0,3,3,9,0,0,15,0
"Dodd City ISD",2020-09-20,"Fannin",74904,340,324,0,0,0,1,0,1,0,0,1,0,1,0,2,0
"Ector ISD",2020-09-20,"Fannin",74905,264,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honey Grove ISD",2020-09-20,"Fannin,Lamar",74907,614,534,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Leonard ISD",2020-09-20,"Collin,Fannin,Hunt",74909,861,668,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,1,3
"Savoy ISD",2020-09-20,"Fannin,Grayson",74911,306,278,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Trenton ISD",2020-09-20,"Collin,Fannin,Grayson",74912,720,598,NA,NA,NA,NA,NA,NA,NA,0,0,6,4,1,2,7
"Sam Rayburn ISD",2020-09-20,"Fannin",74917,523,482,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Flatonia ISD",2020-09-20,"Bastrop,Caldwell,Fayette,Gonzales,Lavaca",75901,600,549,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"La Grange ISD",2020-09-20,"Bastrop,Colorado,Fayette,Lee",75902,1863,1684,NA,NA,NA,NA,NA,NA,NA,2,2,8,0,0,7,5
"Schulenburg ISD",2020-09-20,"Colorado,Fayette,Lavaca",75903,686,660,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Fayetteville ISD",2020-09-20,"Austin,Colorado,Fayette",75906,270,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Round Top-Carmine ISD",2020-09-20,"Austin,Fayette,Lee,Washington",75908,237,210,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Roby Cisd",2020-09-20,"Fisher,Jones,Scurry",76903,311,298,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Rotan ISD",2020-09-20,"Fisher,Kent,Scurry,Stonewall",76904,239,238,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Floydada ISD",2020-09-20,"Briscoe,Crosby,Dickens,Floyd,Hale,Motley",77901,702,641,0,0,4,0,0,0,4,0,0,5,2,0,2,5
"Lockney ISD",2020-09-20,"Briscoe,Floyd,Hale,Swisher",77902,460,412,NA,NA,NA,NA,NA,NA,NA,0,0,4,7,0,5,6
"Crowell ISD",2020-09-20,"Baylor,Cottle,Foard,Hardeman,King,Knox,Wilbarger",78901,197,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamar Cisd",2020-09-20,"Austin,Brazoria,Fort Bend,Waller,Wharton",79901,36062,16288,2,2,9,5,0,1,17,13,11,32,30,5,1,80
"Needville ISD",2020-09-20,"Brazoria,Fort Bend,Wharton",79906,3278,2474,0,0,1,0,0,0,1,1,1,4,0,0,2,4
"Fort Bend ISD",2020-09-20,"Brazoria,Fort Bend,Harris",79907,76227,2826,7,1,10,4,0,2,20,12,2,23,48,6,32,47
"Stafford Msd",2020-09-20,"Fort Bend,Harris",79910,3273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Vernon ISD",2020-09-20,"Camp,Franklin,Hopkins,Red River,Titus,Wood",80901,1523,1309,0,0,8,0,6,2,0,5,5,25,10,11,14,20
"Fairfield ISD",2020-09-20,"Anderson,Freestone,Navarro",81902,1707,1445,0,1,0,0,0,1,0,1,1,8,5,1,5,9
"Teague ISD",2020-09-20,"Freestone,Leon,Limestone",81904,1169,1032,NA,NA,NA,NA,NA,NA,NA,0,0,10,6,0,2,14
"Wortham ISD",2020-09-20,"Freestone,Limestone,Navarro",81905,485,443,0,0,1,0,0,0,1,0,0,1,1,0,0,2
"Dew ISD",2020-09-20,"Freestone",81906,172,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dilley ISD",2020-09-20,"Dimmit,Frio,La Salle,Zavala",82902,888,497,0,0,0,1,0,0,1,0,0,0,2,0,1,1
"Pearsall ISD",2020-09-20,"Atascosa,Frio,La Salle,Medina,Uvalde,Zavala",82903,2123,779,0,0,0,1,0,0,1,0,0,3,6,0,0,9
"Seagraves ISD",2020-09-20,"Gaines,Terry,Yoakum",83901,550,491,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Loop ISD",2020-09-20,"Dawson,Gaines,Terry",83902,146,131,0,0,0,3,0,1,2,0,0,0,3,0,1,2
"Seminole ISD",2020-09-20,"Andrews,Dawson,Gaines,Martin,Yoakum",83903,2953,2730,NA,NA,NA,NA,NA,NA,NA,2,2,9,6,0,13,6
"Odyssey Academy Inc",2020-09-20,"Galveston",84802,1273,634,0,0,0,1,0,1,0,0,0,1,2,2,1,0
"Ambassadors Preparatory
Academy",2020-09-20,"Galveston",84804,250,125,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"Dickinson ISD",2020-09-20,"Chambers,Galveston",84901,11538,6192,2,0,8,0,0,2,8,5,4,16,7,0,9,23
"Galveston ISD",2020-09-20,"Brazoria,Chambers,Galveston",84902,6598,3667,0,1,0,2,0,0,3,0,1,1,10,0,9,3
"High Island ISD",2020-09-20,"Chambers,Galveston",84903,185,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas City ISD",2020-09-20,"Galveston",84906,7284,4883,1,0,3,0,0,2,2,3,4,8,8,2,12,9
"Hitchcock ISD",2020-09-20,"Brazoria,Galveston",84908,1610,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Fe ISD",2020-09-20,"Brazoria,Galveston",84909,4323,3215,0,0,0,1,0,0,1,1,0,7,3,3,3,5
"Clear Creek ISD",2020-09-20,"Brazoria,Chambers,Galveston,Harris",84910,40663,26658,NA,NA,NA,NA,NA,NA,NA,10,5,23,11,3,33,13
"Friendswood ISD",2020-09-20,"Brazoria,Galveston,Harris",84911,6098,4553,0,0,2,0,0,2,0,1,3,3,3,0,7,3
"Post ISD",2020-09-20,"Borden,Crosby,Garza,Kent,Lynn,Scurry",85902,794,764,0,0,5,3,0,7,1,0,1,6,6,0,12,1
"Southland ISD",2020-09-20,"Crosby,Garza,Lubbock,Lynn",85903,119,104,0,1,1,0,0,2,0,0,1,1,1,0,3,0
"Doss Consolidated Csd",2020-09-20,"Gillespie,Kimble,Mason",86024,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fredericksburg ISD",2020-09-20,"Blanco,Gillespie,Kendall,Kerr,Llano,Mason",86901,3106,2655,1,0,4,0,0,1,4,5,9,21,1,2,8,26
"Harper ISD",2020-09-20,"Gillespie,Kerr,Kimble,Mason",86902,545,514,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Glasscock County ISD",2020-09-20,"Glasscock,Howard,Martin,Midland,Reagan,Sterling,Upton",87901,292,275,0,0,0,1,0,1,0,0,0,2,3,0,4,1
"Goliad ISD",2020-09-20,"Bee,DeWitt,Goliad,Karnes,Refugio,Victoria",88902,1256,1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonzales ISD",2020-09-20,"Caldwell,DeWitt,Gonzales,Guadalupe",89901,2677,2628,0,0,3,3,0,4,2,0,1,5,3,0,7,2
"Nixon-Smiley Cisd",2020-09-20,"DeWitt,Gonzales,Guadalupe,Karnes,Wilson",89903,967,808,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Waelder ISD",2020-09-20,"Bastrop,Caldwell,Fayette,Gonzales",89905,294,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lefors ISD",2020-09-20,"Gray,Wheeler",90902,158,158,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Mclean ISD",2020-09-20,"Collingsworth,Donley,Gray,Wheeler",90903,204,199,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Pampa ISD",2020-09-20,"Carson,Gray,Hutchinson,Roberts",90904,3420,2854,1,0,2,2,0,5,0,1,0,8,11,0,10,10
"Grandview-Hopkins ISD",2020-09-20,"Carson,Gray",90905,38,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bells ISD",2020-09-20,"Fannin,Grayson",91901,875,814,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,1,2,2
"Collinsville ISD",2020-09-20,"Cooke,Grayson",91902,549,482,0,0,1,0,0,0,1,0,0,3,5,1,0,7
"Denison ISD",2020-09-20,"Fannin,Grayson",91903,4568,3696,0,1,4,1,0,0,6,2,2,9,8,0,0,21
"Howe ISD",2020-09-20,"Grayson",91905,1267,1125,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,3,1
"Sherman ISD",2020-09-20,"Grayson",91906,7483,5280,0,3,4,2,1,5,3,3,6,13,13,9,16,10
"Tioga ISD",2020-09-20,"Cooke,Denton,Grayson",91907,746,696,0,0,1,1,0,2,0,0,0,3,3,0,6,0
"Van Alstyne ISD",2020-09-20,"Collin,Grayson",91908,1899,1721,NA,NA,NA,NA,NA,NA,NA,0,0,11,2,1,12,0
"Whitesboro ISD",2020-09-20,"Cooke,Grayson",91909,1912,1684,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"Whitewright ISD",2020-09-20,"Collin,Fannin,Grayson",91910,759,677,NA,NA,NA,NA,NA,NA,NA,1,0,4,3,0,5,3
"Pottsboro ISD",2020-09-20,"Grayson",91913,1413,1225,0,2,1,0,0,3,0,0,3,14,6,1,17,5
"S And S Cisd",2020-09-20,"Grayson",91914,988,875,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,1,2
"Gunter ISD",2020-09-20,"Collin,Grayson",91917,982,792,1,0,2,0,0,3,0,6,4,21,6,0,13,24
"Tom Bean ISD",2020-09-20,"Grayson",91918,636,588,NA,NA,NA,NA,NA,NA,NA,0,1,5,0,0,3,3
"East Texas Charter
Schools",2020-09-20,"Gregg",92801,132,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladewater ISD",2020-09-20,"Gregg,Smith,Upshur",92901,1740,1412,NA,NA,NA,NA,NA,NA,NA,0,2,3,9,2,3,9
"Kilgore ISD",2020-09-20,"Gregg,Rusk",92902,3936,3314,0,0,5,1,0,1,5,0,3,29,24,1,24,31
"Longview ISD",2020-09-20,"Gregg,Harrison,Rusk,Upshur",92903,8368,5536,1,1,4,0,0,0,6,10,14,31,20,3,9,63
"Pine Tree ISD",2020-09-20,"Gregg",92904,4528,3751,0,0,0,1,0,1,0,0,2,20,9,0,26,5
"Sabine ISD",2020-09-20,"Gregg,Smith",92906,1534,1360,NA,NA,NA,NA,NA,NA,NA,0,2,1,4,0,2,5
"Spring Hill ISD",2020-09-20,"Gregg",92907,2001,1716,0,0,5,3,2,2,4,0,4,11,7,2,4,16
"White Oak ISD",2020-09-20,"Gregg,Upshur",92908,1441,1257,0,0,3,1,0,2,2,3,4,24,17,0,9,39
"Anderson-Shiro Cisd",2020-09-20,"Brazos,Grimes,Montgomery,Walker",93901,902,795,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Iola ISD",2020-09-20,"Brazos,Grimes,Madison",93903,535,497,NA,NA,NA,NA,NA,NA,NA,0,1,9,0,1,4,5
"Navasota ISD",2020-09-20,"Brazos,Burleson,Grimes,Montgomery,Waller,Washington",93904,2881,2311,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,0,4,8
"Richards ISD",2020-09-20,"Grimes,Montgomery,Walker",93905,177,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seguin ISD",2020-09-20,"Caldwell,Gonzales,Guadalupe,Wilson",94901,6737,3384,2,0,0,3,0,4,1,2,1,3,7,0,9,4
"Schertz-Cibolo-U City ISD",2020-09-20,"Bexar,Comal,Guadalupe",94902,15546,8256,4,2,9,5,0,20,0,7,4,16,23,0,50,0
"Navarro ISD",2020-09-20,"Comal,Guadalupe,Hays",94903,1978,1631,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,4,0
"Marion ISD",2020-09-20,"Bexar,Guadalupe",94904,1464,1092,0,1,0,0,0,1,0,1,1,1,0,0,3,0
"Abernathy ISD",2020-09-20,"Hale,Hockley,Lamb,Lubbock",95901,803,753,0,0,1,3,0,1,3,0,1,7,5,0,6,7
"Cotton Center ISD",2020-09-20,"Hale,Lamb",95902,97,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hale Center ISD",2020-09-20,"Hale",95903,616,550,0,1,2,4,0,7,0,0,1,5,4,0,10,0
"Petersburg ISD",2020-09-20,"Crosby,Floyd,Hale,Lubbock",95904,283,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plainview ISD",2020-09-20,"Castro,Floyd,Hale,Swisher",95905,4834,4125,0,1,19,13,7,26,0,5,9,50,46,11,97,2
"Memphis ISD",2020-09-20,"Briscoe,Childress,Collingsworth,Cottle,Donley,Hall,Motley",96904,447,418,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,0,6,0
"Turkey-Quitaque ISD",2020-09-20,"Briscoe,Floyd,Hall,Motley",96905,195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hamilton ISD",2020-09-20,"Bosque,Comanche,Hamilton,Mills",97902,813,671,0,0,1,0,0,1,0,1,1,3,1,0,5,1
"Hico ISD",2020-09-20,"Bosque,Comanche,Erath,Hamilton",97903,558,497,0,1,0,1,0,2,0,0,1,2,1,0,4,0
"Gruver ISD",2020-09-20,"Hansford,Sherman",98901,441,434,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Pringle-Morse Cisd",2020-09-20,"Hansford,Hutchinson,Moore,Roberts,Sherman",98903,110,104,0,0,0,1,0,1,0,0,0,0,2,0,2,0
"Spearman ISD",2020-09-20,"Hansford,Hutchinson,Ochiltree,Roberts",98904,807,762,0,1,3,0,0,3,1,1,3,16,20,4,16,20
"Chillicothe ISD",2020-09-20,"Foard,Hardeman,Wilbarger",99902,205,204,1,0,0,1,0,2,0,2,1,1,2,0,2,4
"Quanah ISD",2020-09-20,"Childress,Cottle,Foard,Hardeman",99903,528,522,NA,NA,NA,NA,NA,NA,NA,0,3,4,25,1,12,19
"Kountze ISD",2020-09-20,"Hardin,Polk,Tyler",100903,1078,912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silsbee ISD",2020-09-20,"Hardin,Jasper,Tyler",100904,2720,2134,0,0,0,1,0,1,0,1,0,3,4,0,5,3
"Hardin-Jefferson ISD",2020-09-20,"Chambers,Hardin,Jefferson,Liberty",100905,2462,1974,0,0,0,1,0,0,1,0,0,18,3,5,9,7
"Lumberton ISD",2020-09-20,"Hardin,Jasper,Jefferson,Orange",100907,4303,3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Hardin County Cisd",2020-09-20,"Hardin,Liberty,Polk",100908,519,448,NA,NA,NA,NA,NA,NA,NA,0,0,4,3,0,0,7
"Harris County Dept Of Ed",2020-09-20,"Harris",101000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ser-Ninos Charter School",2020-09-20,"Harris",101802,1110,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristoi Classical Academy",2020-09-20,"Harris",101803,1073,608,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"George I Sanchez Charter",2020-09-20,"Harris",101804,985,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raul Yzaguirre Schools
For Success",2020-09-20,"Harris",101806,1328,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Houston
Charter School",2020-09-20,"Harris",101807,87,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Accelerated
Learning Inc",2020-09-20,"Harris",101810,857,149,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Excel Academy",2020-09-20,"Harris",101811,203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Varnett Public School",2020-09-20,"Harris",101814,2052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief Montessori
Community School",2020-09-20,"Harris",101815,327,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amigos Por Vida-Friends
For Life Pub Chtr Sch",2020-09-20,"Harris",101819,482,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Heights High
School",2020-09-20,"Harris",101821,172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Gateway Academy
Inc",2020-09-20,"Harris",101828,2127,882,1,0,0,0,0,1,0,3,0,1,4,0,7,1
"Calvin Nelms Charter
Schools",2020-09-20,"Harris",101837,303,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southwest School",2020-09-20,"Harris",101838,1694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Two Dimensions
Preparatory Academy",2020-09-20,"Harris",101840,420,216,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Comquest Academy",2020-09-20,"Harris",101842,38,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes Prep Public Schools
Inc",2020-09-20,"Harris",101845,13463,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Academy",2020-09-20,"Harris",101846,3692,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beatrice Mayes Institute
Charter School",2020-09-20,"Harris",101847,475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate
Academy",2020-09-20,"Harris",101849,236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promise Community School",2020-09-20,"Harris",101853,1306,443,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Meyerpark Elementary",2020-09-20,"Harris",101855,258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draw Academy",2020-09-20,"Harris",101856,713,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony School Of
Excellence",2020-09-20,"Harris",101858,6027,434,1,0,0,0,1,0,0,2,0,2,1,2,3,0
"Step Charter School",2020-09-20,"Harris",101859,510,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Rhodes School",2020-09-20,"Harris",101861,723,229,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Harmony School Of Science
- Houston",2020-09-20,"Harris",101862,3987,326,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"The Lawson Academy",2020-09-20,"Harris",101864,186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pro-Vision Academy",2020-09-20,"Harris",101868,386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beta Academy",2020-09-20,"Harris",101870,1168,511,0,0,2,0,0,2,0,1,1,2,0,0,4,0
"A+ Unlimited Potential",2020-09-20,"Harris",101871,152,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etoile Academy Charter
School",2020-09-20,"Harris",101872,219,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yellowstone College
Preparatory",2020-09-20,"Harris",101873,308,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legacy School Of Sport
Sciences",2020-09-20,"Harris",101874,404,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloom Academy Charter
School",2020-09-20,"Harris",101875,86,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reve Preparatory Charter
School",2020-09-20,"Harris",101876,118,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elevate Collegiate
Charter School",2020-09-20,"Harris",101877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Classical Charter
School",2020-09-20,"Harris",101878,54,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-09-20,"Harris,Montgomery",101902,63330,12669,9,2,8,12,0,0,31,12,6,8,48,1,2,71
"Alief ISD",2020-09-20,"Fort Bend,Harris",101903,41282,2011,0,0,0,10,0,10,0,0,1,1,28,0,30,0
"Channelview ISD",2020-09-20,"Harris",101905,9214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby ISD",2020-09-20,"Chambers,Harris,Liberty",101906,6188,2480,NA,NA,NA,NA,NA,NA,NA,4,4,20,9,13,11,13
"Cypress-Fairbanks ISD",2020-09-20,"Harris",101907,114442,52723,5,5,31,24,1,10,54,24,18,81,93,21,34,161
"Deer Park ISD",2020-09-20,"Harris",101908,12343,8229,NA,NA,NA,NA,NA,NA,NA,4,2,10,4,0,4,16
"Galena Park ISD",2020-09-20,"Harris",101910,21402,140,3,0,1,6,0,10,0,9,1,3,24,0,37,0
"Goose Creek Cisd",2020-09-20,"Chambers,Harris",101911,22990,11512,2,0,7,12,0,21,0,5,1,23,44,7,65,1
"Houston ISD",2020-09-20,"Brazoria,Fort Bend,Harris",101912,195117,51,0,0,1,10,0,0,11,1,0,4,63,0,3,65
"Humble ISD",2020-09-20,"Harris,Montgomery",101913,45405,28547,1,1,36,10,0,29,19,15,16,112,56,0,156,43
"Katy ISD",2020-09-20,"Fort Bend,Harris,Waller",101914,83655,44457,3,3,30,10,0,0,46,14,16,108,67,0,0,205
"Klein ISD",2020-09-20,"Harris,Montgomery",101915,45604,25117,2,3,33,6,0,0,44,14,13,91,32,0,0,150
"La Porte ISD",2020-09-20,"Chambers,Harris",101916,6962,4026,0,0,1,1,0,0,2,1,1,3,7,0,5,7
"Pasadena ISD",2020-09-20,"Brazoria,Harris",101917,50397,18653,3,0,4,14,0,0,21,11,2,28,74,0,17,98
"Spring ISD",2020-09-20,"Harris,Montgomery",101919,33264,18021,2,1,1,3,0,7,0,11,5,3,26,0,42,3
"Spring Branch ISD",2020-09-20,"Harris",101920,33300,17830,5,3,11,1,0,9,11,21,12,53,21,2,53,52
"Tomball ISD",2020-09-20,"Harris,Montgomery",101921,18596,11438,0,0,5,1,0,6,0,6,1,38,4,0,48,1
"Sheldon ISD",2020-09-20,"Harris",101924,10139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huffman ISD",2020-09-20,"Harris,Liberty,Montgomery",101925,3433,2550,0,0,4,0,0,0,4,3,1,8,2,0,4,10
"Karnack ISD",2020-09-20,"Harrison,Marion",102901,144,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall ISD",2020-09-20,"Harrison,Marion,Panola,Rusk",102902,5085,3972,0,0,1,5,0,0,6,3,0,14,15,0,1,31
"Waskom ISD",2020-09-20,"Harrison,Panola",102903,810,739,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,4,0
"Hallsville ISD",2020-09-20,"Gregg,Harrison,Rusk",102904,4818,4270,NA,NA,NA,NA,NA,NA,NA,1,1,20,12,2,3,29
"Harleton ISD",2020-09-20,"Harrison,Marion,Upshur",102905,711,674,NA,NA,NA,NA,NA,NA,NA,1,0,3,0,0,3,1
"Elysian Fields ISD",2020-09-20,"Harrison,Panola",102906,863,818,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Channing ISD",2020-09-20,"Dallam,Hartley,Moore,Oldham,Potter",103901,171,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hartley ISD",2020-09-20,"Dallam,Hartley,Moore,Sherman",103902,228,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haskell Cisd",2020-09-20,"Haskell,King,Knox,Stonewall,Throckmorton",104901,548,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rule ISD",2020-09-20,"Haskell,Jones,Stonewall",104903,144,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paint Creek ISD",2020-09-20,"Haskell,Jones,Shackelford,Throckmorton",104907,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Katherine Anne Porter
School",2020-09-20,"Hays",105801,105,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas Preparatory School",2020-09-20,"Hays",105802,155,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
