"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,969,787,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,964,762,NA,0,NA,NA,NA,NA,2,NA,NA,NA
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,821,644,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,658,551,NA,NA,NA,NA,NA,0,3,0,3,0
"Pleasanton ISD",2020-11-22,7905,"3433",2757,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2
"Pleasanton ISD Total",2020-11-22,7905,"3433",2757,NA,NA,3433,2757,NA,0,NA,NA,NA,14,8,0,19,3
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,462,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,371,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,510,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,260,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-11-22,7906,"1603",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,7,0
"Poteet ISD Total",2020-11-22,7906,"1603",1022,NA,NA,1603,1022,NA,NA,NA,NA,NA,6,1,0,7,0
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,512,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,541,523,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,292,283,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,151,150,0,2,0,2,0,0,2,0,2,0
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,NA,NA,0,2,0,0,2,2,7,0,3,6
"Bellville ISD",2020-11-22,8901,"2238",2147,NA,NA,742,704,7,0,2,0,5,10,0,2,0,8
"Bellville ISD Total",2020-11-22,8901,"2238",2147,NA,NA,2238,2147,9,4,3,3,7,15,9,3,7,14
"Sealy ISD",2020-11-22,8902,"2816",2522,NA,NA,675,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sealy ISD",2020-11-22,8902,"2816",2522,NA,NA,819,717,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Sealy ISD",2020-11-22,8902,"2816",2522,NA,NA,682,603,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Sealy ISD",2020-11-22,8902,"2816",2522,NA,NA,640,592,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Sealy ISD",2020-11-22,8902,"2816",2522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Sealy ISD Total",2020-11-22,8902,"2816",2522,NA,NA,2816,2522,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Brazos ISD",2020-11-22,8903,"794",647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
