County,County2,Date,sample_location,key_plot_id,population_served,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,,2022-08-25,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,66.2,-12.0,100.0
Bexar,,2022-08-26,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,43.2,-56.0,100.0
Bexar,,2022-08-26,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,62.6,35.0,100.0
Bexar,,2022-08-26,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,66.2,-12.0,100.0
Bexar,,2022-08-27,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,43.2,-56.0,100.0
Bexar,,2022-08-27,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,62.6,35.0,100.0
Bexar,,2022-08-27,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,66.2,-12.0,100.0
Bexar,,2022-08-28,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,47.0,-6.0,100.0
Bexar,,2022-08-28,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,61.2,54.0,100.0
Bexar,,2022-08-28,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,59.4,-17.0,100.0
Bexar,,2022-08-29,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,47.0,26.0,100.0
Bexar,,2022-08-29,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,61.2,57.0,100.0
Bexar,,2022-08-29,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,59.4,-16.0,100.0
Bexar,,2022-08-30,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,54.2,131.0,100.0
Bexar,,2022-08-30,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,70.0,122.0,100.0
Bexar,,2022-08-30,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,61.2,15.0,100.0
Bexar,,2022-08-31,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,54.2,702.0,100.0
