Date,zipcode,population_served,positivity_rate,viral_load_log10,viral_load_pct_vs_baseline
2020-08-17,77477,36563,0.0998361268194829,11.7594517464459,16
2020-08-24,77477,36563,0.0845248702558232,11.7108463879625,14
2020-08-31,77477,36563,0.0738240000333683,11.6876666852653,13
2020-09-07,77477,36563,0.0670914577145548,11.6831606833251,13
2020-09-14,77477,36563,0.0636851848618193,11.6905764271125,13
2020-09-21,77477,36563,0.0629631230375983,11.7031619615929,14
2020-09-28,77477,36563,0.0642832138043286,11.7158246195156,14
2020-10-05,77477,36563,0.0670984285268229,11.7305458571028,15
2020-10-12,77477,36563,0.0712418577793996,11.7511919596744,15
2020-10-19,77477,36563,0.0766416219387529,11.7816292293691,17
2020-10-26,77477,36563,0.0832258413815776,11.8257239683255,18
2020-11-02,77477,36563,0.0909226364845679,11.8872475489357,21
2020-11-09,77477,36563,0.0996601276244185,11.9662122053775,25
2020-11-16,77477,36563,0.109300128225556,12.0577066633267,31
2020-11-23,77477,36563,0.119439223903335,12.1564865131933,39
2020-11-30,77477,36563,0.129607693320842,12.2573073453873,49
2020-12-07,77477,36563,0.139335815141165,12.3549247503185,62
2020-12-14,77477,36563,0.148153868027389,12.4436693128949,76
2020-12-21,77477,36563,0.155592130642603,12.5148688359333,89
2020-12-28,77477,36563,0.161190191544194,12.5585579252452,99
2021-01-04,77477,36563,0.164524878866758,12.5647661476416,100
2021-01-11,77477,36563,0.165182330639194,12.5235230699335,91
2021-01-18,77477,36563,0.162748684890398,12.4249378578963,73
2021-01-25,77477,36563,0.156810079649268,12.2706161118213,51
2021-02-01,77477,36563,0.146952652944702,12.0855710609979,33
2021-02-08,77477,36563,0.133133873568108,11.8976623304364,22
2021-02-15,77477,36563,0.116796533360936,11.734749545147,15
2021-02-22,77477,36563,0.0997547549271465,11.6246923301402,12
2021-03-01,77477,36563,0.0838226608707006,11.594876983423,11
2021-03-08,77477,36563,0.0708143737955586,11.649844622987,12
2021-03-15,77477,36563,0.0625440163056815,11.7615975477225,16
2021-03-22,77477,36563,0.0601535762906317,11.8996496830335,22
2021-03-29,77477,36563,0.0620965027823803,12.0335149543237,29
2021-04-05,77477,36563,0.0661541100985,12.1327072869971,37
2021-04-12,77477,36563,0.0701077125565639,12.1722857003153,41
2021-04-19,77477,36563,0.0717386244741447,12.1549977527787,39
2021-04-26,77477,36563,0.0688281601688155,12.0922106353087,34
2021-05-03,77477,36563,0.0600482287319605,11.995294076671,27
2021-05-10,77477,36563,0.0476331183502109,11.8756178056312,20
2021-05-17,77477,36563,0.0347077119840092,11.7445958557265,15
2021-05-24,77477,36563,0.0243968925937977,11.6161635485798,11
2021-05-31,77477,36563,0.0198255431400192,11.5081126920662,9
2021-06-07,77477,36563,0.0241185465831161,11.4385638667938,7
2021-06-14,77477,36563,0.0393307933182389,11.4256376533708,7
2021-06-21,77477,36563,0.0632372034793702,11.4874546324053,8
2021-06-28,77477,36563,0.0925427046352005,11.6351628226858,12
2021-07-05,77477,36563,0.12395222435442,11.8426507260747,19
2021-07-12,77477,36563,0.15417069020572,12.0713996718794,32
2021-07-19,77477,36563,0.17990302975779,12.282881985396,52
2021-07-26,77477,36563,0.19854277612751,12.4385699919207,75
2021-08-02,77477,36563,0.210237884624517,12.5003719340369,86
2021-08-09,77477,36563,0.215824916106638,12.4585318228398,78
2021-08-16,77477,36563,0.216140431431698,12.3486065098404,61
2021-08-23,77477,36563,0.212020991457524,12.2102329175212,44
2021-08-30,77477,36563,0.204303157041943,12.0830479683647,33
2021-09-06,77477,36563,0.193680714658985,12.0066885848532,28
2021-09-13,77477,36563,0.180276353247503,12.0123281981761,28
2021-09-20,77477,36563,0.164069987362553,12.0829293151927,33
2021-09-27,77477,36563,0.145041531559193,12.1843658049162,42
2021-10-04,77477,36563,0.123170900392481,12.2824874025598,52
2021-10-11,77477,36563,0.098438008417472,12.3431438433365,60
2021-10-18,77477,36563,0.0715757202051114,12.3322404418766,59
2021-10-25,77477,36563,0.0463287003898894,12.2370972713059,47
2021-11-01,77477,36563,0.0271945636221829,12.0988150931733,34
2021-11-08,77477,36563,0.0186709245523691,11.9668287682076,25
2021-11-15,77477,36563,0.0252553978308252,11.8905735242025,21
2021-11-22,77477,36563,0.0514455981079285,11.9194845889522,23
2021-11-29,77477,36563,0.099390057607708,12.0955240470758,34
2021-12-06,77477,36563,0.161840978848803,12.3884572495125,67
2021-12-13,77477,36563,0.229201481923503,12.7274795005329,146
2021-12-20,77477,36563,0.291874686924099,13.0413128824478,300
2021-12-27,77477,36563,0.340263713942882,13.2586794775675,495
2022-01-03,77477,36563,0.364771683072142,13.3083619426049,555
2022-01-10,77477,36563,0.358751900287011,13.1531889434696,388
2022-01-17,77477,36563,0.327358415093982,12.8468793937305,192
2022-01-24,77477,36563,0.278695462882387,12.4582072165577,78
2022-01-31,77477,36563,0.220867279041561,12.055947039791,31
2022-02-07,77477,36563,0.161978098960837,11.7088734912702,14
2022-02-14,77477,36563,0.110132158029548,11.4800008295944,8
2022-02-21,77477,36563,0.071766680723659,11.3724683750589,6
2022-02-28,77477,36563,0.0466508478656602,11.3538191577202,6
2022-03-07,77477,36563,0.0328868293646731,11.3911110586454,7
2022-03-14,77477,36563,0.0285767951298194,11.4514019589012,8
2022-03-21,77477,36563,0.0318229150702205,11.5017633018792,9
2022-03-28,77477,36563,0.0407273590949982,11.5211887563135,9
2022-04-04,77477,36563,0.0537149242985829,11.522494822918,9
2022-04-11,77477,36563,0.070500916516642,11.5244683818986,9
2022-04-18,77477,36563,0.0911232687701516,11.5458964960078,10
2022-04-25,77477,36563,0.115619914080088,11.6055662279982,11
2022-05-02,77477,36563,0.144028785467427,11.7212385534974,14
2022-05-09,77477,36563,0.176387815953146,11.890446543125,21
2022-05-16,77477,36563,0.212311372527012,12.092138366174,34
2022-05-23,77477,36563,0.249719558053964,12.3045581544648,55
2022-05-30,77477,36563,0.286108909367731,12.5059500398181,87
2022-06-06,77477,36563,0.318975963302045,12.6745581540543,129
2022-06-13,77477,36563,0.345817256690635,12.7932185067995,170
2022-06-20,77477,36563,0.364129326367232,12.8660445590283,200
2022-06-27,77477,36563,0.37206297171305,12.9033343929354,218
2022-07-04,77477,36563,0.370386042299244,12.9153881853398,225
2022-07-11,77477,36563,0.360520650244454,12.9125061130602,223
2022-07-18,77477,36563,0.343888907667319,12.9049494539362,219
2022-07-25,77477,36563,0.321912926686478,12.8969865772219,215
2022-08-01,77477,36563,0.29601481942057,12.8804619518697,207
2022-08-08,77477,36563,0.267531218587535,12.8456744854632,191
2022-08-15,77477,36563,0.237456839302518,12.7829230855864,166
2022-08-22,77477,36563,0.206700917279961,12.6825066598229,131
2022-08-29,77477,36563,0.176172688234309,12.5372157033966,94
2022-09-05,77477,36563,0.146781387880006,12.3589981259801,62
2022-09-12,77477,36563,0.119436251931496,12.1686926330057,40
2022-09-19,77477,36563,0.0950986123250461,11.9871871180807,26
2022-09-26,77477,36563,0.0749381858842124,11.8353694748126,19
2022-10-03,77477,36563,0.0601767856543748,11.7340851397939,15
2022-10-10,77477,36563,0.0520362246809128,11.6958348217027,14
2022-10-17,77477,36563,0.051738316009206,11.7148023278967,14
2022-10-24,77477,36563,0.0605048726846339,11.7827380130322,17
2022-10-31,77477,36563,0.0788654275450709,11.891392231765,21
2022-11-07,77477,36563,0.104580392598371,12.0325153387513,29
2022-11-14,77477,36563,0.134717899644882,12.197558491061,43
2022-11-21,77477,36563,0.166346080484954,12.375510929993,65
2022-11-28,77477,36563,0.196533066918935,12.5541519545135,98
2022-12-05,77477,36563,0.222346990747174,12.7212524528865,144
2022-12-12,77477,36563,0.241319684666153,12.8645833133757,200
2022-12-19,77477,36563,0.252837784956889,12.9719338092795,256
2022-12-26,77477,36563,0.256751628796535,13.0358599502618,296
2023-01-02,77477,36563,0.252911553362242,13.0600197934214,313
2023-01-09,77477,36563,0.241167895831161,13.0496490881362,306
2023-01-16,77477,36563,0.221370993380443,13.0099835837836,279
2023-01-23,77477,36563,0.193946907145472,12.9462590297414,241
2023-01-30,77477,36563,0.161624594094552,12.8637606777078,199
2023-02-06,77477,36563,0.127708735154223,12.7682010782109,160
2023-02-13,77477,36563,0.0955040112510203,12.6655107522491,126
2023-02-20,77477,36563,0.0683151033114822,12.5616219289709,99
2023-02-27,77477,36563,0.0494466922621458,12.462466837525,79
2023-03-06,77477,36563,0.0411033327381905,12.3739704374702,65
2023-03-13,77477,36563,0.0410890742093641,12.2994967771,54
2023-03-20,77477,36563,0.0461078398540563,12.2360893610676,47
2023-03-27,77477,36563,0.0528635528506567,12.1798338334731,41
2023-04-03,77477,36563,0.0580601363775552,12.1268158384165,37
2023-04-10,77477,36563,0.0584015136131414,12.0731210199981,32
2023-04-17,77477,36563,0.0513673784036547,12.0151466059314,28
2023-04-24,77477,36563,0.0375405072667325,11.9522396295524,24
2023-05-01,77477,36563,0.0182794473878621,11.8853730181803,21
2023-05-08,77477,36563,-0.0050572540474696,11.8155366805632,18
2023-05-15,77477,36563,,11.7437205254496,15
2023-05-22,77477,36563,,11.6709144615878,13
2020-07-06,77489,36548,0.291328948560664,11.5602320445038,100
2020-07-13,77489,36548,0.248717671137736,11.5159454987467,90
2020-07-20,77489,36548,0.207476863066021,11.4223254139087,73
2020-07-27,77489,36548,0.168976993696735,11.3358439136808,60
2020-08-03,77489,36548,0.134588532381091,11.2600702903684,50
2020-08-10,77489,36548,0.105681948470303,11.1985738362763,43
2020-08-17,77489,36548,0.0836277113155853,11.1547571587584,39
2020-08-24,77489,36548,0.0692512500842344,11.1289622630368,37
2020-08-31,77489,36548,0.0611978332078769,11.1188469318731,36
2020-09-07,77489,36548,0.057567688934222,11.1219779455649,36
2020-09-14,77489,36548,0.0564610455109788,11.1359220844096,38
2020-09-21,77489,36548,0.0559781311858566,11.1582461287049,40
2020-09-28,77489,36548,0.0542191742065644,11.1870856249606,42
2020-10-05,77489,36548,0.0498744389583523,11.223159566357,46
2020-10-12,77489,36548,0.0439943343766338,11.2679200750605,51
2020-10-19,77489,36548,0.0382193055343634,11.3228193223478,58
2020-10-26,77489,36548,0.0341897975044952,11.3893094794953,67
2020-11-02,77489,36548,0.0335462553599838,11.4687931585714,81
2020-11-09,77489,36548,0.0379291241737836,11.5602803946652,100
2020-11-16,77489,36548,0.0483849952958023,11.6593730263106,126
2020-11-23,77489,36548,0.0635850451837619,11.7614122041712,159
2020-11-30,77489,36548,0.0816065965723377,11.8617390789107,200
2020-12-07,77489,36548,0.100526972196205,11.9556948011928,249
2020-12-14,77489,36548,0.11842349479004,12.0387929263323,301
2020-12-21,77489,36548,0.133373487088517,12.1074369519595,353
2020-12-28,77489,36548,0.143810270980858,12.1583166916508,396
2021-01-04,77489,36548,0.149591164974475,12.188122095369,425
2021-01-11,77489,36548,0.150929486731325,12.1935431130769,430
2021-01-18,77489,36548,0.148038553913364,12.1713337520393,408
2021-01-25,77489,36548,0.141131684182551,12.1224013899895,365
2021-02-01,77489,36548,0.130422195200843,12.0542759615827,312
2021-02-08,77489,36548,0.116386477704393,11.9750792479239,260
2021-02-15,77489,36548,0.100553214726143,11.8929330301182,215
2021-02-22,77489,36548,0.0847141623732283,11.8159590892709,180
2021-03-01,77489,36548,0.0706610767527866,11.7521341752445,156
2021-03-08,77489,36548,0.0601857139719546,11.7050365122544,140
2021-03-15,77489,36548,0.0550798301378692,11.6731591665807,130
2021-03-22,77489,36548,0.0563786087387156,11.654711940358,124
2021-03-29,77489,36548,0.0620909427868724,11.6479046357209,122
