"TSA","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"G - Piney Woods",2020-06-28,170.285714285714,76.5280611103871,264.043367461041,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-29,170.285714285714,69.0158744989556,271.555554072473,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-30,170.285714285714,62.0237016869888,278.54772688444,0,0,0,0,1,1,0
"G - Piney Woods",2020-07-01,170.285714285714,55.4565094055209,285.114919165908,0,0,0,0,1,1,0
"G - Piney Woods",2020-07-02,170.285714285714,49.2451045098698,291.326324061559,0,0,0,0,1,1,0
"H - Deep East Texas",2020-06-03,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-04,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-06,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-07,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-10,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-12,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-16,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-17,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H - Deep East Texas",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I - Greater El Paso",2020-06-03,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-04,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-05,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-06,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-07,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-08,NA,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-09,97.2857142857143,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-10,102.714285714286,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-11,84.1428571428571,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-12,70,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-13,72.1428571428571,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-14,66.7142857142857,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-15,77.7142857142857,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-16,63.5714285714286,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-17,59.8571428571429,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-18,63,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-19,69.2857142857143,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-20,78.2857142857143,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-21,93.7142857142857,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-22,92,NA,NA,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-23,89.6587671740577,79.2013037008611,100.116230647254,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-24,87.9146321591256,74.8743307778033,100.954933540448,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-25,86.6153137331216,72.3418693697191,100.888758096524,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-26,85.647367812823,70.7334937055705,100.561241920076,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-27,84.9262825993206,69.6685824933153,100.183982705326,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-28,84.3890998143863,68.9438881206549,99.8343115081176,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-29,83.9889177845424,68.4406181445707,99.5372174245141,1,0,0,0,1,0,0
"I - Greater El Paso",2020-06-30,83.6907964346009,68.0855797176868,99.2960131515149,1,0,0,0,1,0,0
"I - Greater El Paso",2020-07-01,83.4687066537938,67.8319919513192,99.1054213562684,1,0,0,0,1,0,0
"I - Greater El Paso",2020-07-02,83.3032576822639,67.6490898292573,98.9574255352706,1,0,0,0,1,0,0
"J - Texas 'J'",2020-06-03,NA,NA,NA,1,0,0,0,1,1,0
