County,Date,cases_cumulative,deaths_cumulative
Travis,2021-02-02,70089,672
Travis,2021-02-03,70631,677
Travis,2021-02-04,71164,680
Travis,2021-02-05,71426,683
Travis,2021-02-06,71623,684
Travis,2021-02-07,71831,684
Travis,2021-02-08,72279,689
Travis,2021-02-09,72625,695
Travis,2021-02-10,72972,701
Travis,2021-02-11,73259,704
Travis,2021-02-12,73538,710
Travis,2021-02-13,0,0
Travis,2021-02-14,0,0
Travis,2021-02-15,0,0
Travis,2021-02-16,0,0
Travis,2021-02-17,0,0
Travis,2021-02-18,0,0
Travis,2021-02-19,0,0
Travis,2021-02-20,0,0
Travis,2021-02-21,0,0
Travis,2021-02-22,74206,714
Travis,2021-02-23,74598,727
Travis,2021-02-24,74835,733
Travis,2021-02-25,75047,734
Travis,2021-02-26,75362,743
Travis,2021-02-27,75617,743
Travis,2021-02-28,75636,743
Travis,2021-03-01,75901,744
Travis,2021-03-02,76088,749
Travis,2021-03-03,76274,754
Travis,2021-03-04,76365,761
Travis,2021-03-05,76447,765
Travis,2021-03-06,76507,766
Travis,2021-03-07,76638,766
Travis,2021-03-08,76742,766
Travis,2021-03-09,76855,772
Travis,2021-03-10,77082,773
Travis,2021-03-11,77231,777
Travis,2021-03-12,77329,778
Travis,2021-03-13,77408,779
Travis,2021-03-14,77485,779
Travis,2021-03-15,77669,780
Travis,2021-03-16,77775,788
Travis,2021-03-17,77831,791
Travis,2021-03-18,77916,796
Travis,2021-03-19,78011,802
Travis,2021-03-20,78108,802
Travis,2021-03-21,78193,802
Travis,2021-03-22,78308,802
Travis,2021-03-23,78372,803
Travis,2021-03-24,78496,806
Travis,2021-03-25,78602,811
Travis,2021-03-26,78661,812
Travis,2021-03-27,78828,812
Travis,2021-03-28,78907,812
Travis,2021-03-29,78994,812
Travis,2021-03-30,79085,816
Travis,2021-03-31,79217,817
Travis,2021-04-01,79324,818
Travis,2021-04-02,79422,819
Travis,2021-04-03,79493,819
Travis,2021-04-04,0,0
Travis,2021-04-05,79645,819
Travis,2021-04-06,79787,821
Travis,2021-04-07,79922,821
Travis,2021-04-08,80031,823
Travis,2021-04-09,80123,823
Travis,2021-04-10,80272,823
Travis,2021-04-11,80446,823
Travis,2021-04-12,80533,823
Travis,2021-04-13,80642,829
Travis,2021-04-14,80799,831
Travis,2021-04-15,80909,835
Travis,2021-04-16,81002,837
Travis,2021-04-17,81138,837
Travis,2021-04-18,81199,837
Travis,2021-04-19,81342,837
Travis,2021-04-20,81470,839
Travis,2021-04-21,81551,840
Travis,2021-04-22,81600,844
Travis,2021-04-23,81686,845
Travis,2021-04-24,81739,845
Travis,2021-04-25,81811,845
Travis,2021-04-26,81906,847
Travis,2021-04-27,82057,847
Travis,2021-04-28,82152,847
