"PHR","Date","Rt","lower","upper"
"11 - Harlingen PHR",2020-03-26,2.37278560965472,1.28947368421053,3.5
"11 - Harlingen PHR",2020-03-27,2.1653999052315,1.2962962962963,3.11111111111111
"11 - Harlingen PHR",2020-03-28,2.00403363435979,1.2,2.7
"11 - Harlingen PHR",2020-03-29,1.860471417363,1.11363636363636,2.54545454545455
"11 - Harlingen PHR",2020-03-30,1.82515054550698,1.17894736842105,2.50526315789474
"11 - Harlingen PHR",2020-03-31,1.72425290769894,1.18548387096774,2.25806451612903
"11 - Harlingen PHR",2020-04-01,1.69117824237399,1.14074074074074,2.22962962962963
"11 - Harlingen PHR",2020-04-02,1.60536675695142,1.14619883040936,2.00584795321637
"11 - Harlingen PHR",2020-04-03,1.5098554700808,1.10891089108911,1.90594059405941
"11 - Harlingen PHR",2020-04-04,1.42725172417982,1.02666666666667,1.77333333333333
"11 - Harlingen PHR",2020-04-05,1.37869454079388,1.03813559322034,1.72033898305085
"11 - Harlingen PHR",2020-04-06,1.32106323968437,1.01526717557252,1.62977099236641
"11 - Harlingen PHR",2020-04-07,1.26313443694783,0.939929328621908,1.58303886925795
"11 - Harlingen PHR",2020-04-08,1.21581700258975,0.925423728813559,1.51864406779661
"11 - Harlingen PHR",2020-04-09,1.17088550862412,0.863636363636364,1.45454545454545
"11 - Harlingen PHR",2020-04-10,1.14108995331353,0.858064516129032,1.42258064516129
"11 - Harlingen PHR",2020-04-11,1.11021726130657,0.847826086956522,1.39130434782609
"11 - Harlingen PHR",2020-04-12,1.04821329727644,0.793201133144476,1.26961756373938
"11 - Harlingen PHR",2020-04-13,1.02482970689429,0.753846153846154,1.29230769230769
"11 - Harlingen PHR",2020-04-14,1.01028140482314,0.743203125,1.26875
"11 - Harlingen PHR",2020-04-15,0.959663757276376,0.717948717948718,1.23646723646724
"11 - Harlingen PHR",2020-04-16,0.929091828027038,0.680851063829787,1.17021276595745
"11 - Harlingen PHR",2020-04-17,0.897929681684017,0.632398753894081,1.15576323987539
"11 - Harlingen PHR",2020-04-18,0.883761335849797,0.616949152542373,1.13898305084746
"11 - Harlingen PHR",2020-04-19,0.88123781197169,0.608695652173913,1.14130434782609
"11 - Harlingen PHR",2020-04-20,0.854421608183348,0.60703125,1.11805555555556
"11 - Harlingen PHR",2020-04-21,0.840370125003588,0.558269961977186,1.11787072243346
"11 - Harlingen PHR",2020-04-22,0.856334914710246,0.591111111111111,1.21333333333333
"11 - Harlingen PHR",2020-04-23,0.879468822024657,0.55868544600939,1.1830985915493
"11 - Harlingen PHR",2020-04-24,0.90189971361978,0.59433962264151,1.18867924528302
"11 - Harlingen PHR",2020-04-25,0.881601739562377,0.583333333333333,1.16666666666667
"11 - Harlingen PHR",2020-04-26,0.889604064064076,0.59433962264151,1.18867924528302
"11 - Harlingen PHR",2020-04-27,0.902014043729315,0.583333333333333,1.23529411764706
"11 - Harlingen PHR",2020-04-28,0.907138989012884,0.580487804878049,1.22926829268293
"11 - Harlingen PHR",2020-04-29,0.918639909762237,0.604060913705584,1.24365482233503
"11 - Harlingen PHR",2020-04-30,0.916100255533162,0.589108910891089,1.24752475247525
"11 - Harlingen PHR",2020-05-01,0.922173532094388,0.552631578947369,1.25263157894737
"11 - Harlingen PHR",2020-05-02,0.96710872113306,0.604938271604938,1.33950617283951
"11 - Harlingen PHR",2020-05-03,0.995262160423939,0.606936416184971,1.41618497109827
"11 - Harlingen PHR",2020-05-04,1.03021275239126,0.654970760233918,1.39181286549708
"11 - Harlingen PHR",2020-05-05,1.04668736092417,0.684782608695652,1.40760869565217
"11 - Harlingen PHR",2020-05-06,1.07330057994364,0.696132596685083,1.39323204419889
"11 - Harlingen PHR",2020-05-07,1.10037487039787,0.718918918918919,1.47567567567568
"11 - Harlingen PHR",2020-05-08,1.12363984931966,0.761658031088083,1.48704663212435
"11 - Harlingen PHR",2020-05-09,1.13586065421117,0.781553398058253,1.49514563106796
"11 - Harlingen PHR",2020-05-10,1.1386100734587,0.802752293577982,1.50917431192661
"11 - Harlingen PHR",2020-05-11,1.15540686525575,0.806451612903226,1.51612903225806
"11 - Harlingen PHR",2020-05-12,1.18542395606577,0.795454545454546,1.52727272727273
"11 - Harlingen PHR",2020-05-13,1.1623064876679,0.874337121212121,1.51136363636364
"11 - Harlingen PHR",2020-05-14,1.14514064223497,0.820512820512821,1.43589743589744
"11 - Harlingen PHR",2020-05-15,1.1144553716571,0.836177474402731,1.40955631399317
"11 - Harlingen PHR",2020-05-16,1.07973925422249,0.80327868852459,1.35409836065574
"11 - Harlingen PHR",2020-05-17,1.04729415208616,0.767741935483871,1.30967741935484
"11 - Harlingen PHR",2020-05-18,1.00762567385243,0.746081504702194,1.27272727272727
"11 - Harlingen PHR",2020-05-19,0.969758730126608,0.728154574132492,1.23659305993691
"11 - Harlingen PHR",2020-05-20,0.940168678437439,0.663398692810458,1.18954248366013
"11 - Harlingen PHR",2020-05-21,0.899278067277891,0.640522875816994,1.16666666666667
"11 - Harlingen PHR",2020-05-22,0.896364252699316,0.616858237547893,1.18007662835249
"11 - Harlingen PHR",2020-05-23,0.899389408924538,0.6,1.2
"11 - Harlingen PHR",2020-05-24,0.921907722870617,0.601809954751131,1.23608597285068
"11 - Harlingen PHR",2020-05-25,0.931978575949712,0.625,1.25
"11 - Harlingen PHR",2020-05-26,0.96945384017145,0.639593908629442,1.31472081218274
"11 - Harlingen PHR",2020-05-27,1.02400709106282,0.646739130434783,1.3695652173913
"11 - Harlingen PHR",2020-05-28,1.07905428063686,0.707446808510638,1.48936170212766
"11 - Harlingen PHR",2020-05-29,1.11245597970639,0.743961352657005,1.45410628019324
"11 - Harlingen PHR",2020-05-30,1.16503142955403,0.77,1.505
"11 - Harlingen PHR",2020-05-31,1.21420890944626,0.866666666666667,1.6
"11 - Harlingen PHR",2020-06-01,1.2800790562985,0.895734597156398,1.62559241706161
"11 - Harlingen PHR",2020-06-02,1.329290003594,0.974683544303798,1.68354430379747
"11 - Harlingen PHR",2020-06-03,1.37001165124002,1.01915708812261,1.74329501915709
"11 - Harlingen PHR",2020-06-04,1.41999366183781,1.07885304659498,1.73181003584229
"11 - Harlingen PHR",2020-06-05,1.42049513275201,1.10850439882698,1.70432551319648
"11 - Harlingen PHR",2020-06-06,1.4143998833674,1.13262599469496,1.70822281167109
"11 - Harlingen PHR",2020-06-07,1.41607951161671,1.12,1.68
"11 - Harlingen PHR",2020-06-08,1.48043517187778,1.20052770448549,1.77354881266491
"11 - Harlingen PHR",2020-06-09,1.48838278652193,1.21610169491525,1.75
"11 - Harlingen PHR",2020-06-10,1.49062033397458,1.21969696969697,1.73674242424242
"11 - Harlingen PHR",2020-06-11,1.50226910523941,1.27050610820244,1.72251308900524
"11 - Harlingen PHR",2020-06-12,1.50583661933925,1.27173913043478,1.73913043478261
"11 - Harlingen PHR",2020-06-13,1.49502531041138,1.28669410150892,1.71879286694102
"11 - Harlingen PHR",2020-06-14,1.52316376619598,1.31696908602151,1.73118279569892
"11 - Harlingen PHR",2020-06-15,1.54270830844671,1.32954002389486,1.73118279569892
"11 - Harlingen PHR",2020-06-16,1.57510459547962,1.37855579868709,1.7691466083151
"11 - Harlingen PHR",2020-06-17,1.57446846637831,1.39106654512306,1.74856426618049
"11 - Harlingen PHR",2020-06-18,1.55634874771944,1.39123630672926,1.71439749608764
"11 - Harlingen PHR",2020-06-19,1.54197198395687,1.38810441485634,1.69738962859145
"11 - Harlingen PHR",2020-06-20,1.5296342287301,1.38146279949559,1.67276166456494
"11 - Harlingen PHR",2020-06-21,1.54088501945126,1.39410460992908,1.68804669030733
"11 - Harlingen PHR",2020-06-22,1.5445517100179,1.40802501302762,1.67430953621678
"11 - Harlingen PHR",2020-06-23,1.53606051598614,1.41844616083598,1.66015447523853
"11 - Harlingen PHR",2020-06-24,1.53917288882413,1.42533936651584,1.65857671740025
"11 - Harlingen PHR",2020-06-25,1.50304750331401,1.38521798365123,1.60462363760218
"11 - Harlingen PHR",2020-06-26,1.46561509093157,1.35981873111783,1.56712235649547
"11 - Harlingen PHR",2020-06-27,1.42062644230063,1.3343163538874,1.51081769436997
"11 - Harlingen PHR",2020-06-28,1.39218959093456,1.29910580290145,1.48299149574787
"11 - Harlingen PHR",2020-06-29,1.33871527555606,1.25546806649169,1.4147364391951
"11 - Harlingen PHR",2020-06-30,1.30058196367605,1.22165489299813,1.37443901932267
"11 - Harlingen PHR",2020-07-01,1.25056680727099,1.17995148401826,1.32248858447489
"11 - Harlingen PHR",2020-07-02,1.21601582217822,1.14240730389417,1.28600708030557
"11 - Harlingen PHR",2020-07-03,1.18860833898926,1.11441502911208,1.25840156477438
"11 - Harlingen PHR",2020-07-04,1.17483276362253,1.10198145791674,1.24456462461371
"11 - Harlingen PHR",2020-07-05,1.1620571154785,1.09421575585522,1.23459457061746
"11 - Harlingen PHR",2020-07-06,1.15706086888028,1.08960510005313,1.22596068709049
"11 - Harlingen PHR",2020-07-07,1.16984991686629,1.09788937409025,1.23674945414847
"11 - Harlingen PHR",2020-07-08,1.20483138186021,1.13311267605634,1.27643192488263
"11 - Harlingen PHR",2020-07-09,1.24054931043246,1.16268200611181,1.31245281323027
"11 - Harlingen PHR",2020-07-10,1.28400988483149,1.21493495378295,1.35404827114002
"11 - Harlingen PHR",2020-07-11,1.26566971009478,1.20471224012116,1.32810133553628
"11 - Harlingen PHR",2020-07-12,1.22534151669074,1.16578020756116,1.28603595255745
