County,Date,cases_daily,deaths_daily
Potter,2022-01-23,143,
Potter,2022-01-24,129,
Potter,2022-01-25,265,
Potter,2022-01-26,271,
Potter,2022-01-27,177,
Potter,2022-01-28,164,
Potter,2022-01-29,158,
Potter,2022-01-30,88,
Potter,2022-01-31,71,
Potter,2022-02-01,167,
Potter,2022-02-02,112,29
Potter,2022-02-03,63,
Potter,2022-02-04,38,
Potter,2022-02-05,49,
Potter,2022-02-06,30,
Potter,2022-02-07,32,
Potter,2022-02-08,50,
Potter,2022-02-09,52,
Potter,2022-02-10,45,
Potter,2022-02-11,34,
Potter,2022-02-12,31,
Potter,2022-02-13,19,
Potter,2022-02-14,13,
Potter,2022-02-15,23,
Potter,2022-02-16,27,
Potter,2022-02-17,22,
Potter,2022-02-18,14,
Potter,2022-02-19,8,
Potter,2022-02-20,7,
Potter,2022-02-21,6,
Potter,2022-02-22,12,
Potter,2022-02-23,10,
Potter,2022-02-24,9,
Potter,2022-02-25,5,
Potter,2022-02-26,5,
Potter,2022-02-27,6,
Potter,2022-02-28,2,
Potter,2022-03-01,9,
Potter,2022-03-02,2,9
Potter,2022-03-03,8,
Potter,2022-03-04,2,
Potter,2022-03-05,2,
Potter,2022-03-06,4,
Potter,2022-03-07,1,
Potter,2022-03-08,7,
Potter,2022-03-09,6,
Potter,2022-03-10,5,
Potter,2022-03-11,1,
Potter,2022-03-12,4,
Potter,2022-03-13,3,
Potter,2022-03-14,1,
Potter,2022-03-15,5,
Potter,2022-03-16,2,
Potter,2022-03-17,1,
Potter,2022-03-20,1,
Potter,2022-03-21,1,
Potter,2022-03-23,1,
Potter,2022-03-24,2,
Potter,2022-03-26,2,
Potter,2022-03-27,2,
Potter,2022-03-28,1,
Potter,2022-03-29,4,
Potter,2022-03-30,2,
Potter,2022-03-31,1,
Potter,2022-04-01,4,
Potter,2022-04-02,1,1
Potter,2022-04-03,1,
Potter,2022-04-05,1,
Potter,2022-04-07,1,
Potter,2022-04-10,1,
Potter,2022-04-11,1,
Potter,2022-04-12,3,
Potter,2022-04-14,2,
Potter,2022-04-15,3,
Potter,2022-04-16,3,
Potter,2022-04-17,1,
Potter,2022-04-18,2,
Potter,2022-04-19,6,
Potter,2022-04-20,4,
Potter,2022-04-21,14,
Potter,2022-04-22,5,
Potter,2022-04-23,1,
Potter,2022-04-24,2,
Potter,2022-04-25,2,
Potter,2022-04-26,4,
Potter,2022-04-27,2,
Potter,2022-04-28,2,
Potter,2022-04-29,4,
Potter,2022-04-30,4,
Potter,2022-05-02,3,4
Potter,2022-05-03,3,
Potter,2022-05-04,2,
Potter,2022-05-05,3,
Potter,2022-05-06,1,
Potter,2022-05-07,2,
Potter,2022-05-08,1,
Potter,2022-05-09,1,
Potter,2022-05-10,6,
Potter,2022-05-11,1,
Potter,2022-05-12,4,
Potter,2022-05-13,6,
Potter,2022-05-14,4,
Potter,2022-05-16,4,
Potter,2022-05-17,8,
Potter,2022-05-18,8,
Potter,2022-05-19,16,
Potter,2022-05-20,7,
Potter,2022-05-21,5,
Potter,2022-05-22,3,
Potter,2022-05-23,5,
Potter,2022-05-24,3,
Potter,2022-05-25,16,
Potter,2022-05-26,6,
Potter,2022-05-27,14,
Potter,2022-05-28,15,
Potter,2022-05-29,9,
Potter,2022-05-30,15,
Potter,2022-05-31,11,
Potter,2022-06-01,34,
Potter,2022-06-02,22,2
Potter,2022-06-03,20,
Potter,2022-06-04,18,
Potter,2022-06-05,18,
Potter,2022-06-06,15,
Potter,2022-06-07,29,
Potter,2022-06-08,32,
Potter,2022-06-09,29,
Potter,2022-06-10,19,
Potter,2022-06-11,28,
Potter,2022-06-12,16,
Potter,2022-06-13,22,
Potter,2022-06-14,38,
Potter,2022-06-15,31,
Potter,2022-06-16,33,
Potter,2022-06-17,30,
Potter,2022-06-18,35,
Potter,2022-06-19,16,
Potter,2022-06-20,18,
Potter,2022-06-21,36,
Potter,2022-06-22,44,
Potter,2022-06-23,43,
Potter,2022-06-24,61,
Potter,2022-06-25,36,
Potter,2022-06-26,38,
Potter,2022-06-27,19,
Potter,2022-06-28,47,
Potter,2022-06-29,67,
Potter,2022-06-30,61,
Potter,2022-07-01,52,
Potter,2022-07-02,48,4
Potter,2022-07-03,42,
Potter,2022-07-04,39,
Potter,2022-07-05,27,
Potter,2022-07-06,71,
Potter,2022-07-07,63,
Potter,2022-07-08,68,
Potter,2022-07-09,63,
Potter,2022-07-10,44,
Potter,2022-07-11,28,
Potter,2022-07-12,86,
Potter,2022-07-13,60,
Potter,2022-07-14,51,
Potter,2022-07-15,57,
Potter,2022-07-16,48,
Potter,2022-07-17,29,
Potter,2022-07-18,31,
Potter,2022-07-19,61,
Potter,2022-07-20,77,
Potter,2022-07-21,72,
Potter,2022-07-22,59,
Potter,2022-07-23,57,
Potter,2022-07-24,30,
Potter,2022-07-25,29,
Potter,2022-07-26,81,
Potter,2022-07-27,44,
Potter,2022-07-28,60,
Potter,2022-07-29,54,
Potter,2022-07-30,35,
Potter,2022-07-31,25,
Potter,2022-08-01,32,
Potter,2022-08-02,55,3
Potter,2022-08-03,42,
Potter,2022-08-04,45,
Potter,2022-08-05,50,
Potter,2022-08-06,43,
Potter,2022-08-07,25,
Potter,2022-08-08,28,
Potter,2022-08-09,60,
Potter,2022-08-10,41,
Potter,2022-08-11,50,
Potter,2022-08-12,37,
Potter,2022-08-13,41,
Potter,2022-08-14,13,
Potter,2022-08-15,42,
Potter,2022-08-16,34,
Potter,2022-08-17,45,
Potter,2022-08-18,55,
Potter,2022-08-19,34,
Potter,2022-08-20,23,
Potter,2022-08-21,26,
Potter,2022-08-22,26,
