"District","LEA","County"
"Glasscock ISD","87901","Howard"
"Glasscock ISD","87901","Martin"
"Glasscock ISD","87901","Midland"
"Glasscock ISD","87901","Reagan"
"Glasscock ISD","87901","Sterling"
"Glasscock ISD","87901","Upton"
"Glen Rose ISD","213901","Bosque"
"Glen Rose ISD","213901","Erath"
"Glen Rose ISD","213901","Hood"
"Glen Rose ISD","213901","Johnson"
"Glen Rose ISD","213901","Somervell"
"Godley ISD","126911","Hood"
"Godley ISD","126911","Johnson"
"Godley ISD","126911","Parker"
"Godley ISD","126911","Tarrant"
"Gold-Burg ISD","169906","Clay"
"Gold-Burg ISD","169906","Montague"
"Goldthwaite Cons ISD","167901","Hamilton"
"Goldthwaite Cons ISD","167901","Lampasas"
"Goldthwaite Cons ISD","167901","Mills"
"Goldthwaite Cons ISD","167901","San Saba"
"Goliad ISD","88902","Bee"
"Goliad ISD","88902","DeWitt"
"Goliad ISD","88902","Goliad"
"Goliad ISD","88902","Karnes"
"Goliad ISD","88902","Refugio"
"Goliad ISD","88902","Victoria"
"Gonzales ISD","89901","Caldwell"
"Gonzales ISD","89901","DeWitt"
"Gonzales ISD","89901","Gonzales"
"Gonzales ISD","89901","Guadalupe"
"Goodrich ISD","187903","Polk"
"Goodrich ISD","187903","San Jacinto"
"Goose Creek Consolidated ISD","101911","Chambers"
"Goose Creek Consolidated ISD","101911","Harris"
"Gordon ISD","182901","Erath"
"Gordon ISD","182901","Palo Pinto"
"Gorman ISD","67904","Comanche"
"Gorman ISD","67904","Eastland"
"Grady ISD","156905","Andrews"
"Grady ISD","156905","Howard"
"Grady ISD","156905","Martin"
"Graford ISD","182902","Jack"
"Graford ISD","182902","Palo Pinto"
"Graford ISD","182902","Stephens"
"Graford ISD","182902","Young"
"Graham ISD","252901","Archer"
"Graham ISD","252901","Jack"
"Graham ISD","252901","Palo Pinto"
"Graham ISD","252901","Stephens"
"Graham ISD","252901","Throckmorton"
"Graham ISD","252901","Young"
"Granbury ISD","111901","Hood"
"Granbury ISD","111901","Johnson"
"Granbury ISD","111901","Parker"
"Granbury ISD","111901","Somervell"
"Granbury ISD","111901","Tarrant"
"Grand Prairie ISD","57910","Dallas"
"Grand Prairie ISD","57910","Tarrant"
"Grand Saline ISD","234904","Rains"
"Grand Saline ISD","234904","Smith"
"Grand Saline ISD","234904","Van Zandt"
"Grand Saline ISD","234904","Wood"
"Grandfalls-Royalty ISD","238904","Crane"
"Grandfalls-Royalty ISD","238904","Pecos"
"Grandfalls-Royalty ISD","238904","Reeves"
"Grandfalls-Royalty ISD","238904","Ward"
"Grandview-Hopkins ISD","90905","Carson"
"Grandview-Hopkins ISD","90905","Gray"
"Grandview ISD","126904","Ellis"
"Grandview ISD","126904","Hill"
"Grandview ISD","126904","Johnson"
"Granger ISD","246905","Milam"
"Granger ISD","246905","Williamson"
"Grape Creek ISD","226907","Coke"
"Grape Creek ISD","226907","Tom Green"
"Grapeland ISD","113902","Anderson"
"Grapeland ISD","113902","Cherokee"
"Grapeland ISD","113902","Houston"
"Grapeland ISD","113902","Leon"
"Grapevine-Colleyville ISD","220906","Dallas"
"Grapevine-Colleyville ISD","220906","Denton"
"Grapevine-Colleyville ISD","220906","Tarrant"
"Greenville ISD","116905","Hunt"
"Greenwood ISD","165902","Glasscock"
"Greenwood ISD","165902","Martin"
"Greenwood ISD","165902","Midland"
"Gregory-Portland ISD","205902","Aransas"
"Gregory-Portland ISD","205902","Nueces"
"Gregory-Portland ISD","205902","San Patricio"
"Groesbeck ISD","147902","Falls"
"Groesbeck ISD","147902","Freestone"
"Groesbeck ISD","147902","Leon"
"Groesbeck ISD","147902","Limestone"
"Groesbeck ISD","147902","Robertson"
"Groom ISD","33901","Armstrong"
"Groom ISD","33901","Carson"
"Groom ISD","33901","Donley"
"Groom ISD","33901","Gray"
"Groveton ISD","228901","Houston"
"Groveton ISD","228901","Polk"
"Groveton ISD","228901","San Jacinto"
"Groveton ISD","228901","Trinity"
"Gruver ISD","98901","Hansford"
"Gruver ISD","98901","Sherman"
"Gunter ISD","91917","Collin"
"Gunter ISD","91917","Grayson"
"Gustine ISD","47903","Comanche"
"Gustine ISD","47903","Hamilton"
"Guthrie CSD","135001","Cottle"
"Guthrie CSD","135001","Dickens"
"Guthrie CSD","135001","Haskell"
"Guthrie CSD","135001","Kent"
"Guthrie CSD","135001","King"
"Guthrie CSD","135001","Knox"
"Guthrie CSD","135001","Motley"
"Guthrie CSD","135001","Stonewall"
"Hale Center ISD","95903","Hale"
"Hallettsville ISD","143901","Colorado"
"Hallettsville ISD","143901","Fayette"
"Hallettsville ISD","143901","Jackson"
