"LEA","District","County"
187910,"Onalaska ISD","Polk,San Jacinto,Trinity"
188901,"Amarillo ISD","Potter,Randall"
188902,"River Road ISD","Potter"
188903,"Highland Park ISD","Armstrong,Carson,Moore,Potter,Randall"
188904,"Bushland ISD","Deaf Smith,Moore,Oldham,Potter,Randall"
189901,"Marfa ISD","Brewster,Jeff Davis,Presidio"
189902,"Presidio ISD","Hudspeth,Jeff Davis,Presidio"
190903,"Rains ISD","Hopkins,Hunt,Rains,Van Zandt,Wood"
191901,"Canyon ISD","Armstrong,Carson,Castro,Deaf Smith,Potter,Randall"
192901,"Reagan County ISD","Crockett,Glasscock,Irion,Reagan,Sterling,Tom Green,Upton"
193902,"Leakey ISD","Bandera,Edwards,Kerr,Real,Uvalde"
194902,"Avery ISD","Bowie,Morris,Red River,Titus"
194903,"Rivercrest ISD","Franklin,Red River,Titus"
194904,"Clarksville ISD","Red River,Titus"
194905,"Detroit ISD","Lamar,Red River"
195901,"Pecos-Barstow-Toyah ISD","Culberson,Jeff Davis,Loving,Pecos,Reeves,Ward"
195902,"Balmorhea ISD","Culberson,Jeff Davis,Reeves"
196901,"Austwell-Tivoli ISD","Aransas,Calhoun,Refugio,Victoria"
196902,"Woodsboro ISD","Aransas,Bee,Refugio,San Patricio"
196903,"Refugio ISD","Aransas,Bee,Calhoun,Goliad,Refugio,Victoria"
197902,"Miami ISD","Gray,Hansford,Hemphill,Hutchinson,Lipscomb,Ochiltree,Roberts,Wheeler"
198901,"Bremond ISD","Falls,Limestone,Milam,Robertson"
198902,"Calvert ISD","Milam,Robertson"
198903,"Franklin ISD","Brazos,Leon,Limestone,Robertson"
198905,"Hearne ISD","Brazos,Milam,Robertson"
198906,"Mumford ISD","Brazos,Burleson,Milam,Robertson"
199901,"Rockwall ISD","Collin,Dallas,Kaufman,Rockwall"
199902,"Royse City ISD","Collin,Hunt,Kaufman,Rockwall"
200901,"Ballinger ISD","Coleman,Concho,Runnels"
200902,"Miles ISD","Coke,Concho,Runnels,Tom Green"
200904,"Winters ISD","Coke,Nolan,Runnels,Taylor"
200906,"Olfen ISD","Concho,Runnels"
201902,"Henderson ISD","Cherokee,Panola,Rusk,Shelby"
201903,"Laneville ISD","Nacogdoches,Rusk"
201904,"Leveretts Chapel ISD","Gregg,Rusk"
201907,"Mount Enterprise ISD","Nacogdoches,Rusk"
201908,"Overton ISD","Gregg,Rusk,Smith"
201910,"Tatum ISD","Gregg,Harrison,Panola,Rusk"
201913,"Carlisle ISD","Cherokee,Rusk,Smith"
201914,"West Rusk County
Consolidated ISD","Rusk,Smith"
202903,"Hemphill ISD","Newton,Sabine,San Augustine,Shelby"
202905,"West Sabine ISD","Sabine,San Augustine"
203901,"San Augustine ISD","Nacogdoches,Sabine,San Augustine,Shelby"
203902,"Broaddus ISD","Angelina,Jasper,Nacogdoches,Sabine,San Augustine"
204901,"Coldspring-Oakhurst Cisd","Montgomery,Polk,San Jacinto,Trinity,Walker"
204904,"Shepherd ISD","Liberty,Polk,San Jacinto"
205901,"Aransas Pass ISD","Aransas,Nueces,San Patricio"
205902,"Gregory-Portland ISD","Aransas,Nueces,San Patricio"
205903,"Ingleside ISD","Nueces,San Patricio"
205904,"Mathis ISD","Bee,Jim Wells,Live Oak,Nueces,San Patricio"
205905,"Odem-Edroy ISD","Nueces,San Patricio"
205906,"Sinton ISD","Aransas,Bee,Refugio,San Patricio"
205907,"Taft ISD","Nueces,San Patricio"
206901,"San Saba ISD","Burnet,Lampasas,Llano,Mills,San Saba"
206902,"Richland Springs ISD","Brown,McCulloch,Mills,San Saba"
206903,"Cherokee ISD","Llano,Mason,San Saba"
207901,"Schleicher ISD","Concho,Crockett,Irion,Kimble,Menard,Schleicher,Sutton,Tom Green"
208901,"Hermleigh ISD","Fisher,Mitchell,Nolan,Scurry"
208902,"Snyder ISD","Borden,Fisher,Garza,Howard,Kent,Mitchell,Scurry"
208903,"Ira ISD","Howard,Mitchell,Scurry"
209901,"Albany ISD","Jones,Shackelford,Stephens,Throckmorton"
209902,"Moran ISD","Callahan,Eastland,Shackelford,Stephens"
210901,"Center ISD","San Augustine,Shelby"
210902,"Joaquin ISD","Panola,Shelby"
210903,"Shelbyville ISD","Sabine,San Augustine,Shelby"
210904,"Tenaha ISD","Panola,Shelby"
210905,"Timpson ISD","Nacogdoches,Panola,Rusk,Shelby"
210906,"Excelsior ISD","Nacogdoches,San Augustine,Shelby"
211901,"Texhoma ISD","Hansford,Sherman"
211902,"Stratford ISD","Dallam,Hartley,Moore,Sherman"
212901,"Arp ISD","Rusk,Smith"
212902,"Bullard ISD","Anderson,Cherokee,Henderson,Smith"
212903,"Lindale ISD","Smith,Van Zandt,Wood"
212904,"Troup ISD","Cherokee,Rusk,Smith"
212905,"Tyler ISD","Henderson,Smith,Van Zandt"
212906,"Whitehouse ISD","Cherokee,Smith"
212909,"Chapel Hill ISD","Gregg,Rusk,Smith"
212910,"Winona ISD","Smith,Upshur,Wood"
213901,"Glen Rose ISD","Bosque,Erath,Hood,Johnson,Somervell"
214901,"Rio Grande City Cisd","Hidalgo,Starr"
214902,"San Isidro ISD","Brooks,Hidalgo,Jim Hogg,Starr"
214903,"Roma ISD","Jim Hogg,Starr,Zapata"
215901,"Breckenridge ISD","Eastland,Palo Pinto,Shackelford,Stephens,Throckmorton,Young"
216901,"Sterling City ISD","Coke,Glasscock,Howard,Mitchell,Reagan,Sterling,Tom Green"
217901,"Aspermont ISD","Dickens,Fisher,Haskell,Jones,Kent,King,Stonewall"
218901,"Sonora ISD","Crockett,Edwards,Kimble,Menard,Schleicher,Sutton,Val Verde"
219901,"Happy ISD","Armstrong,Briscoe,Castro,Randall,Swisher"
219903,"Tulia ISD","Briscoe,Castro,Swisher"
219905,"Kress ISD","Briscoe,Castro,Floyd,Hale,Swisher"
220901,"Arlington ISD","Dallas,Tarrant"
220902,"Birdville ISD","Tarrant"
220904,"Everman ISD","Tarrant"
220905,"Fort Worth ISD","Parker,Tarrant"
220906,"Grapevine-Colleyville ISD","Dallas,Denton,Tarrant"
220907,"Keller ISD","Denton,Tarrant"
220908,"Mansfield ISD","Dallas,Ellis,Johnson,Tarrant"
220910,"Lake Worth ISD","Tarrant"
220912,"Crowley ISD","Johnson,Tarrant"
220914,"Kennedale ISD","Tarrant"
220915,"Azle ISD","Parker,Tarrant,Wise"
220916,"Hurst-Euless-Bedford ISD","Dallas,Tarrant"
220917,"Castleberry ISD","Tarrant"
220918,"Eagle Mt-Saginaw ISD","Tarrant,Wise"
220919,"Carroll ISD","Denton,Tarrant"
220920,"White Settlement ISD","Parker,Tarrant"
221901,"Abilene ISD","Jones,Taylor"
221904,"Merkel ISD","Fisher,Jones,Nolan,Taylor"
221905,"Trent ISD","Fisher,Jones,Nolan,Taylor"
221911,"Jim Ned Cisd","Callahan,Coleman,Runnels,Taylor"
221912,"Wylie ISD","Callahan,Taylor"
222901,"Terrell County ISD","Brewster,Crockett,Pecos,Terrell,Val Verde"
223901,"Brownfield ISD","Cochran,Hockley,Terry,Yoakum"
223902,"Meadow ISD","Hockley,Lynn,Terry"
223904,"Wellman-Union Cisd","Dawson,Gaines,Lynn,Terry"
224901,"Throckmorton Collegiate
ISD","Baylor,Haskell,Shackelford,Throckmorton,Young"
224902,"Woodson ISD","Shackelford,Stephens,Throckmorton,Young"
225902,"Mount Pleasant ISD","Camp,Franklin,Morris,Red River,Titus"
225906,"Chapel Hill ISD","Camp,Morris,Titus"
225907,"Harts Bluff ISD","Titus"
226901,"Christoval ISD","Irion,Schleicher,Tom Green"
226903,"San Angelo ISD","Irion,Tom Green"
226905,"Water Valley ISD","Coke,Irion,Reagan,Sterling,Tom Green"
226906,"Wall ISD","Concho,Menard,Schleicher,Tom Green"
226907,"Grape Creek ISD","Coke,Tom Green"
226908,"Veribest ISD","Concho,Tom Green"
227901,"Austin ISD","Hays,Travis"
227904,"Pflugerville ISD","Travis,Williamson"
227907,"Manor ISD","Bastrop,Travis"
227909,"Eanes ISD","Travis"
227910,"Del Valle ISD","Bastrop,Caldwell,Hays,Travis"
227912,"Lago Vista ISD","Travis"
227913,"Lake Travis ISD","Hays,Travis"
228901,"Groveton ISD","Houston,Polk,San Jacinto,Trinity"
228903,"Trinity ISD","Houston,Madison,San Jacinto,Trinity,Walker"
228904,"Centerville ISD","Angelina,Polk,Trinity"
228905,"Apple Springs ISD","Angelina,Houston,Trinity"
229901,"Colmesneil ISD","Angelina,Jasper,Tyler"
229903,"Woodville ISD","Jasper,Polk,Tyler"
