County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Travis,2020-07-18,17454,203,239,7
Travis,2020-07-19,17646,203,192,0
Travis,2020-07-20,17791,209,145,6
Travis,2020-07-21,18394,218,603,9
Travis,2020-07-22,18696,222,302,4
Travis,2020-07-23,18939,229,243,7
Travis,2020-07-24,19177,241,238,12
Travis,2020-07-25,19401,241,224,0
Travis,2020-07-26,19480,241,79,0
Travis,2020-07-27,19720,252,240,11
Travis,2020-07-28,19952,255,232,3
Travis,2020-07-29,20187,264,235,9
Travis,2020-07-30,20465,266,278,2
Travis,2020-07-31,20745,274,280,8
Travis,2020-08-01,20967,276,222,2
Travis,2020-08-02,21214,279,247,3
Travis,2020-08-03,21549,285,335,6
Travis,2020-08-04,21822,287,273,2
Travis,2020-08-05,22024,287,202,0
Travis,2020-08-06,22256,288,232,1
Travis,2020-08-07,22480,295,224,7
Travis,2020-08-08,22602,298,122,3
Travis,2020-08-09,22724,298,122,0
Travis,2020-08-10,22953,303,229,5
Travis,2020-08-11,23249,307,296,4
Travis,2020-08-12,23421,313,172,6
Travis,2020-08-13,23718,328,297,15
Travis,2020-08-14,23870,332,152,4
Travis,2020-08-15,24008,335,138,3
Travis,2020-08-16,24144,335,136,0
Travis,2020-08-17,24409,335,265,0
Travis,2020-08-18,24759,337,350,2
Travis,2020-08-19,25062,346,303,9
Travis,2020-08-20,25353,346,291,0
Travis,2020-08-21,25559,353,206,7
Travis,2020-08-22,25640,357,81,4
Travis,2020-08-23,25736,357,96,0
Travis,2020-08-24,25890,362,154,5
Travis,2020-08-25,26017,366,127,4
Travis,2020-08-26,26117,371,100,5
Travis,2020-08-27,26239,374,122,3
Travis,2020-08-28,26307,377,68,3
Travis,2020-08-29,26316,380,9,3
Travis,2020-08-30,26434,380,118,0
Travis,2020-08-31,26516,385,82,5
Travis,2020-09-01,26563,385,47,0
Travis,2020-09-02,26622,388,59,3
Travis,2020-09-03,26726,389,104,1
Travis,2020-09-04,26854,393,128,4
Travis,2020-09-05,26931,394,77,1
Travis,2020-09-06,26969,394,38,0
Travis,2020-09-07,27038,395,69,1
Travis,2020-09-08,27124,399,86,4
Travis,2020-09-09,27206,399,82,0
Travis,2020-09-10,27424,402,218,3
Travis,2020-09-11,27525,402,101,0
Travis,2020-09-12,27578,403,53,1
Travis,2020-09-13,27701,403,123,0
Travis,2020-09-14,27776,407,75,4
Travis,2020-09-15,27961,412,185,5
Travis,2020-09-16,28103,413,142,1
Travis,2020-09-17,28212,413,109,0
Travis,2020-09-18,28375,414,163,1
Travis,2020-09-19,28438,414,63,0
Travis,2020-09-20,28441,414,3,0
Travis,2020-09-21,28596,415,155,1
Travis,2020-09-22,28643,415,47,0
Travis,2020-09-23,28745,417,102,2
Travis,2020-09-24,28904,417,159,0
Travis,2020-09-25,29073,420,169,3
Travis,2020-09-26,29130,422,57,2
Travis,2020-09-27,29252,426,122,4
Travis,2020-09-28,29343,426,91,0
Travis,2020-09-29,29421,426,78,0
Travis,2020-09-30,29514,427,93,1
Travis,2020-10-01,29576,429,62,2
Travis,2020-10-02,29647,429,71,0
Travis,2020-10-03,29750,429,103,0
Travis,2020-10-04,29799,429,49,0
Travis,2020-10-05,29857,430,58,1
Travis,2020-10-06,29952,434,95,4
Travis,2020-10-07,29997,436,45,2
Travis,2020-10-08,30075,437,78,1
Travis,2020-10-09,30165,441,90,4
Travis,2020-10-10,30199,441,34,0
Travis,2020-10-11,30265,441,66,0
Travis,2020-10-12,30398,442,133,1
Travis,2020-10-14,30601,442,203,0
Travis,2020-10-15,30688,442,87,0
Travis,2020-10-16,30797,443,109,1
Travis,2020-10-17,30908,445,111,2
Travis,2020-10-18,30956,445,48,0
Travis,2020-10-19,31053,446,97,1
Travis,2020-10-20,31159,448,106,2
Travis,2020-10-21,31228,448,69,0
Travis,2020-10-22,31327,448,99,0
Travis,2020-10-23,31411,448,84,0
Travis,2020-10-24,31493,449,82,1
Travis,2020-10-25,31551,449,58,0
Travis,2020-10-26,31653,449,102,0
Travis,2020-10-27,31775,449,122,0
Travis,2020-10-28,31851,449,76,0
Travis,2020-10-29,31943,450,92,1
Travis,2020-10-30,32024,451,81,1
Travis,2020-10-31,32143,452,119,1
