"PHR","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"6/5S - Houston PHR",2020-09-14,"Raw",337.096774193548,326.772908366534,243.840497931418,197.024878037945,290.656117824891,574.483255214341,473.292182784196,675.674327644487
"6/5S - Houston PHR",2020-09-15,"Raw",539.516129032258,561.713147410358,234.93829131609,188.693000201814,281.183582430366,572.98961270251,472.145918049465,673.833307355554
"6/5S - Houston PHR",2020-09-16,"Raw",214.91935483871,874.223107569721,226.346875705476,180.684553765865,272.009197645086,571.437775404768,470.884270864968,671.991279944568
"6/5S - Houston PHR",2020-09-17,"Raw",204.032258064516,1522.58964143426,218.057110187671,172.977162548694,263.137057826648,569.829454932466,469.489124502263,670.16978536267
"6/5S - Houston PHR",2020-09-18,"Raw",252.822580645161,1125.65737051793,210.059853850774,165.547328691572,254.572379009975,568.166362896955,467.941959976768,668.390765817142
"6/5S - Houston PHR",2020-09-19,"Raw",177.822580645161,292.390438247012,202.34596578288,158.370477096362,246.321454469397,566.450210909585,466.224133992987,666.676287826184
"6/5S - Houston PHR",2020-09-20,"Raw",258.467741935484,244.501992031873,194.906305072086,151.421057199236,238.391552944936,564.682710581706,464.317198757291,665.048222406121
"6/5S - Houston PHR",2020-09-21,"Raw",54.8387096774194,532.629482071713,187.731730806489,144.672718765311,230.790742847666,562.865573524668,462.203256462258,663.527890587079
"6/5S - Houston PHR",2020-09-22,"Raw",177.41935483871,629.9203187251,180.813102074185,138.098576319376,223.527627828994,561.000511349822,459.86533638058,662.135686319064
"6/5S - Houston PHR",2020-09-23,"Raw",84.6774193548387,670.358565737052,174.141277963271,131.671570981852,216.610984944691,559.089235668518,457.287777910045,660.890693426991
"6/5S - Houston PHR",2020-09-24,"Raw",84.2741935483871,163.027888446215,167.707117561845,125.364928042058,210.049307081631,557.133458092106,454.456599366767,659.810316817446
"6/5S - Houston PHR",2020-09-25,"Raw",79.0322580645161,126.852589641434,161.501479958002,119.152693774992,203.850266141011,555.134890231937,451.359830619555,658.90994984432
"6/5S - Houston PHR",2020-09-26,"Raw",97.5806451612903,71.7131474103586,155.515224239838,113.010317642926,198.020130836751,553.095243699361,447.987788389174,658.202699009547
"6/5S - Houston PHR",2020-09-27,"Raw",-4.43548387096774,1774.66135458167,149.739209495452,106.915229835183,192.563189155721,551.016230105728,444.333276412924,657.699183798532
"6/5S - Houston PHR",2020-09-28,"Raw",15.3225806451613,271.752988047809,144.164294812939,100.847354031016,187.481235594862,548.899561062388,440.391698405437,657.407423719339
"6/5S - Houston PHR",2020-09-29,"Raw",64.5161290322581,278.167330677291,138.781339280396,94.7894958520812,182.773182708711,546.746948180692,436.161079050771,657.332817310614
"6/5S - Houston PHR",2020-09-30,"Raw",162.903225806452,835.338645418327,133.58120198592,88.7275606981237,178.434843273717,544.560103071991,431.641996028208,657.478210115773
"6/5S - Houston PHR",2020-10-01,"Raw",82.258064516129,1484.42231075697,128.554742017608,82.6505785072069,174.458905528009,542.340737347633,426.837433123636,657.84404157163
"6/5S - Houston PHR",2020-10-02,"Raw",23.3870967741936,558.486055776892,123.692818463555,76.5505416385246,170.835095288586,540.09056261897,421.752569832278,658.428555405663
"6/5S - Houston PHR",2020-10-03,"Raw",108.064516129032,521.99203187251,118.986290411859,70.4220880636988,167.55049276002,537.811290497353,416.394525944052,659.228055050653
"6/5S - Houston PHR",2020-10-04,"Raw",104.435483870968,251.832669322709,114.426016950617,64.2620791767297,164.589954724505,535.50463259413,410.772080322755,660.237184865506
"6/5S - Houston PHR",2020-10-05,"Raw",16.5322580645161,700.996015936255,110.002857167925,58.0691270558384,161.936587280011,533.172300520653,404.89538176291,661.449219278396
"6/5S - Houston PHR",2020-10-06,"Raw",93.9516129032258,228.207171314741,105.707670151879,51.8431210279759,159.572219275782,530.816005888272,398.775667017739,662.856344758805
"6/5S - Houston PHR",2020-10-07,"Raw",137.903225806452,354.06374501992,101.531314990577,45.5847915680005,157.477838413154,528.437460308337,392.424997512508,664.449923104165
"6/5S - Houston PHR",2020-10-08,"Raw",129.838709677419,374.302788844621,97.4646507721149,39.2953352558464,155.633966288384,526.038375392198,385.856022505392,666.220728279005
"6/5S - Houston PHR",2020-10-09,"Raw",50,823.824701195219,93.4985365845896,32.9761112234265,154.020961945753,523.620462751207,379.081772998902,668.159152503511
"6/5S - Houston PHR",2020-10-10,"Raw",118.548387096774,433.98406374502,89.6238315160976,26.6284092496947,152.6192537825,521.185433996712,372.115487824121,670.255380169303
"6/5S - Houston PHR",2020-10-11,"Raw",81.0483870967742,580.358565737052,85.8313946547356,20.2532829870843,151.409506322387,518.735000740064,364.970471136362,672.499530343767
"6/5S - Houston PHR",2020-10-12,"Raw",95.1612903225807,686.772908366534,82.1120850886004,13.8514383530716,150.372731824129,516.270874592615,357.659979067913,674.881770117316
"6/5S - Houston PHR",2020-10-13,"Raw",141.935483870968,570.916334661355,78.4567619057885,7.42316608725385,149.490357724323,513.794767165713,350.197132395548,677.392401935878
"6/5S - Houston PHR",2020-10-14,"Raw",84.6774193548387,374.422310756972,74.8562841943967,0.968307988434518,148.744260400359,511.308390070709,342.594851674902,680.021928466516
"6/5S - Houston PHR",2020-10-15,"Raw",283.870967741935,1045.45816733068,71.3015110425215,-5.51375231703911,148.116774402082,508.813454918954,334.865811241116,682.761098596791
"6/5S - Houston PHR",2020-10-16,"Raw",30.6451612903226,498.00796812749,67.7833015382597,-12.0240815800699,147.590684656589,506.311673321797,327.022408658304,685.600937985291
"6/5S - Houston PHR",2020-10-17,"Raw",186.290322580645,492.788844621514,64.2925147697079,-18.5641779776418,147.149207517058,503.80475689059,319.076746523357,688.532767257824
"6/5S - Houston PHR",2020-10-18,"Raw",38.3064516129032,468.725099601594,60.8200098249628,-25.1359454215954,146.775965071521,501.294417236682,311.040623920093,691.548210553272
"6/5S - Houston PHR",2020-10-19,"Raw",10.8870967741935,-100,57.3566457921211,-31.7416643331686,146.454955917411,498.782365971424,302.925535227012,694.639196715836
"7 - Temple PHR",2020-04-22,"Raw",0,0,-71.7940592491179,-189.90260009192,46.3144815936839,35.6854622119421,-216.885489326954,288.256413750838
"7 - Temple PHR",2020-04-23,"Raw",-40.6779661016949,-253.670886075949,-69.6796608095746,-183.631316046719,44.2719944275699,41.5047634317136,-207.582092923774,290.591619787201
"7 - Temple PHR",2020-04-24,"Raw",-16.9491525423729,194.303797468354,-67.5551426856571,-177.406939608477,42.2966542371629,47.3240124141658,-198.31532394529,292.963348773621
"7 - Temple PHR",2020-04-25,"Raw",12.7118644067797,85.9493670886076,-65.4103851929908,-171.228408850874,40.4076384648926,53.1431569219803,-189.08743082779,295.373744671751
"7 - Temple PHR",2020-04-26,"Raw",-68.6440677966102,-68.1012658227848,-63.2352686472015,-165.09515652942,38.6246192350174,58.9621447178377,-179.900626587367,297.824916023042
"7 - Temple PHR",2020-04-27,"Raw",-36.4406779661017,-49.4936708860759,-61.0196733639147,-159.007148099585,36.9678013717558,64.7809235644192,-170.757083274393,300.318930403231
"7 - Temple PHR",2020-04-28,"Raw",5.93220338983051,-92.2784810126582,-58.7534796587562,-152.96491500326,35.457955685748,70.5994412244053,-161.658926126541,302.857808575351
"7 - Temple PHR",2020-04-29,"Raw",-5.9322033898305,47.9746835443038,-56.4265678473514,-146.969579012885,34.1164433181821,76.4176454604779,-152.608227426044,305.443518347
"7 - Temple PHR",2020-04-30,"Raw",23.728813559322,-28.8607594936709,-54.0288182453261,-141.022861845071,32.9652253544188,82.2354840353175,-143.607000071933,308.077968142568
"7 - Temple PHR",2020-05-01,"Raw",-18.6440677966102,-154.177215189873,-51.5501111683062,-135.127072362785,32.0268500261724,88.0529047116048,-134.657190883648,310.763000306857
"7 - Temple PHR",2020-05-02,"Raw",-45.7627118644068,-22.6582278481013,-48.9803269319168,-129.28506156519,31.324407701356,93.8698552520212,-125.760673658746,313.500384162789
"7 - Temple PHR",2020-05-03,"Raw",-54.2372881355932,-98.6075949367089,-46.3093458517841,-123.500133436664,30.8814417330961,99.6862834192476,-116.919242014363,316.291808852858
"7 - Temple PHR",2020-05-04,"Raw",-47.4576271186441,73.4177215189873,-43.5270482435332,-117.775898005936,30.7218015188696,105.502136975965,-108.134602049556,319.138876001487
"7 - Temple PHR",2020-05-05,"Raw",10.1694915254237,-100,-40.6233144227904,-112.116052320823,30.8694234752427,111.317363684854,-99.4083648736845,322.043092243393
"7 - Temple PHR",2020-05-06,"Raw",-19.4915254237288,199.620253164557,-37.5880247051807,-106.524076411045,31.3480270006838,117.131911308597,-90.7420390542924,325.005861671486
"7 - Temple PHR",2020-05-07,"Raw",2.54237288135593,111.012658227848,-34.41105940633,-101.002835811545,32.1807169988852,122.945727609873,-82.1370230466319,328.028478266378
"7 - Temple PHR",2020-05-08,"Raw",13.5593220338983,169.746835443038,-31.082298841864,-95.5540908935841,33.389493209856,128.758760351364,-73.59459767558,331.112118378308
"7 - Temple PHR",2020-05-09,"Raw",9.32203389830508,118.101265822785,-27.5916233274085,-90.1779265774144,34.9946799225975,134.570957295752,-65.1159187493203,334.257833340823
"7 - Temple PHR",2020-05-10,"Raw",-61.864406779661,148.73417721519,-23.9289131785887,-84.8721332300077,37.0143068728303,140.382266205716,-56.7020098923329,337.466542303765
"7 - Temple PHR",2020-05-11,"Raw",-55.9322033898305,179.367088607595,-20.0840487110306,-79.6315881081678,39.4634906861066,146.192634843938,-48.3537556928566,340.739025380733
